t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop,nonlocal_crab
10,-1.0,-1.0,-1,-1,-1,-2.6499999999999986,0,"[22.429234747033973 336.97855289164323 1324.7373524667175
 1237.307486512606 385.8711958492392 38.04368398479569 0.5302384235294713
 0.48607226200762194 9.625999386487548 73.35416856750952 337.322978136989
 1041.4515952564348 2190.494025632997 3169.732699310368 3274.6797517496816
 2623.344886253044 1869.3606957294955 1445.3009113808187
 1257.4169445917314 1032.5376525092913 583.3573579150464]",[836.30110456]
11,-1.0,-1.0,-1,-1,-1,-2.9149999999999987,0,"[2.351140532254764 53.97467319170315 404.6082624637637 1130.4532475297367
 1113.4813384594383 439.4850423133439 70.73849313644912 3.9536717886535127
 3.848492772886252 36.43354510490561 196.34898117655723 695.9795598096362
 1674.2902479837635 2776.8103716908345 3260.4106051829026
 2887.244703941543 2149.2146013331785 1593.6837772096765
 1309.3885625229254 1048.7342518258322 588.3340865523461]",[836.30110456]
12,-1.0,-1.0,-1,-1,-1,-3.179999999999999,0,"[0.22913498981599748 7.700069990134847 92.14698604307176
 466.90543266293673 1036.9296320351216 995.9617012672753 437.8479450597092
 90.20024856890187 9.287903526761093 18.176683755226897 113.8001639672555
 452.88157504918803 1232.7061470607218 2338.2519345206842
 3114.690929105434 3061.1435347223182 2417.498751470051 1776.86980441156
 1393.5032970797472 1075.6212334840275 593.8862424119247]",[836.30110456]
13,-1.0,-1.0,-1,-1,-1,-3.444999999999999,0,"[0.005044291874543845 0.9152436974530224 18.323833887361488
 141.2548004405652 522.7028415120408 966.6134145098715 871.6549612024323
 400.6656719234326 95.00568925569081 20.03388331832013 65.63040272214138
 293.55999771699476 896.9671558096958 1900.5517955015066
 2852.4179576727015 3110.062671572033 2634.8366704437535
 1979.6981943568455 1492.0389482417545 1107.425022272807 604.3273305341174]",[836.30110456]
14,-1.0,-1.0,-1,-1,-1,-3.709999999999999,0,"[3.5075006571385335e-06 0.019058773887765095 2.7388348655085113
 36.40975002165768 199.93304663217197 582.3229635129862 911.3270910115623
 759.5840664431278 344.85678048594735 89.55353804694971 48.74634869888349
 185.7620967686895 636.5165008990641 1513.8880551047214 2526.3536216155776
 3057.8247319905618 2817.3323566306667 2186.528769878213 1623.630992694195
 1154.572832630738 613.0590187224362]",[836.30110456]
15,-1.0,-1.0,-1,-1,-1,-3.974999999999999,0,"[3.89753920587938e-07 0.0021242013164857526 0.3330509906412161
 7.4592368781024865 63.00523062210309 268.83883901448695 638.5370556371482
 851.4641624696375 646.6079084832666 284.05968867629434 91.37383449739296
 128.41156365086945 445.8279030292105 1178.654831210788 2185.783536420359
 2921.224977908795 2925.685950750203 2376.4685056410576 1769.3658612793195
 1220.695715831057 631.8828400866254]",[836.30110456]
16,-1.0,-1.0,-1,-1,-1,-4.239999999999999,0,"[1.1859511378919802e-11 2.459957054236295e-06 0.010782991723343948
 1.3048478718386816 17.753118054695932 104.87525891111748
 347.6945434201546 680.3376362183936 784.0754812503027 537.5238555106669
 232.36745392578104 128.0817638071483 315.17894361650474 899.3930755288716
 1841.6689683565462 2709.602321522045 2954.3581039162814 2536.725289858502
 1908.6858636479583 1299.857004104618 658.8632194551719]",[836.30110456]
17,-1.0,-1.0,-1,-1,-1,-4.504999999999999,0,"[2.07948978e+04 9.93789474e+03 2.28885507e+00 1.58344234e-08
 2.00000000e+00 5.30000000e+01 2.24000000e+02 4.64000000e+02
 5.79000000e+02 4.38000000e+02 1.95000000e+02 1.12000000e+02
 2.67000000e+02 7.83000000e+02 1.62300000e+03 2.37400000e+03
 2.64000000e+03 2.30500000e+03 1.74000000e+03 1.18800000e+03
 6.06000000e+02]",[  836.30110456 25502.38745893]
18,-1.0,-1.0,-1,-1,-1,-4.769999999999999,0,"[2007.9915540797685 14909.835454983848 11664.152467997701
 2118.2331701970274 25.387547896109567 14.452962327493873
 97.27819035121107 294.70186980886194 510.24446525562 546.8679776919624
 363.8744350922375 181.0904156326826 221.50546406095225 613.9379861122418
 1385.5910269370283 2228.8451857166046 2669.0152429027744
 2484.329575447497 1926.7819599202699 1299.874058317788 650.2651437747348]",[  836.30110456 25502.38745893]
19,-1.0,-1.0,-1,-1,-1,-5.034999999999998,0,"[197.45714654347196 2990.5806362352123 11828.563060169165
 11048.90999814491 3427.8706473373036 343.7851326950509 41.29758925588618
 151.47608708717837 360.5934766188277 523.0740441958739 473.91555890930323
 294.3181400797927 228.01696173866176 480.19760054582315
 1137.0593473719894 1995.7965662322244 2574.408497552097 2554.813120183684
 2048.838009621357 1380.6302864840547 679.0028026497654]",[  836.30110456 25502.38745893]
20,-1.0,-1.0,-1,-1,-1,-5.299999999999998,0,"[20.569329000097802 479.6864212474809 3640.5890414741325
 10222.665598790234 9981.333492515196 3933.520089691213 657.4852580609978
 109.69193049215656 217.26281711062353 416.1467529850603 504.9092805933952
 403.3113881348121 283.06386643801045 407.85459667888296 938.2667577076062
 1757.030668380805 2433.0142012206575 2572.5099716881955 2154.95810239824
 1469.3255562011225 719.2323910438168]",[  836.30110456 25502.38745893]
21,-1.0,-1.0,-1,-1,-1,-5.564999999999998,0,"[2.2632614929287866 71.98599852266001 832.631435007224 4172.025813921298
 9277.43972945078 8885.003734021515 3914.4966614452073 845.9696504074939
 198.75967032355808 293.7080729335731 447.1193338034624 457.90844606316244
 360.08225895625503 387.4716302941209 781.8612127429654 1533.083064372225
 2276.4312826411774 2559.6457853578704 2251.2819821355138
 1558.4584474238995 762.1915498702626]",[  836.30110456 25502.38745893]
22,-1.0,-1.0,-1,-1,-1,-5.829999999999997,0,"[0.2421400161739855 10.238399500867494 166.49260452669415
 1258.4823638289256 4695.333418447921 8689.19726241742 7871.4430342678
 3600.8778376265595 908.2096751464265 288.72408276600095
 364.44158789499335 457.8182742280018 422.1272380197286 406.3498260197357
 676.5779957559538 1330.2628954648537 2103.7483223347576 2511.691182766606
 2306.434627342757 1635.8883204212161 799.0560101487927]",[  836.30110456 25502.38745893]
23,-1.0,-1.0,-1,-1,-1,-6.094999999999997,0,"[0.00721111477364929 1.3347006283590135 30.654874658995297
 322.42583309254155 1776.201887639712 5216.341495373765 8218.5826555764
 6872.881838008426 3120.9714945721375 876.137072139326 364.6334735882298
 415.8858699491296 445.26149757145106 432.53797455171275 614.1304926283852
 1166.9815984011445 1922.025653396501 2433.2537369501133 2329.990729086813
 1705.096443030613 844.7791261142178]",[  836.30110456 25502.38745893]
24,-1.0,-1.0,-1,-1,-1,-6.359999999999997,0,"[0.0007235084233154971 0.1465254679190811 5.076967932929168
 74.30390771173471 567.9788439030498 2405.5507537430417 5741.519368745327
 7742.050869433887 5879.73288231175 2587.3653538500034 802.6898390832653
 418.5348158754716 440.4263163200236 454.8872209301018 582.6271448686317
 1037.8308006781424 1755.8899763777952 2330.494839545637 2337.59783373624
 1772.4578872007583 887.2633244960739]",[  836.30110456 25502.38745893]
25,-1.0,-1.0,-1,-1,-1,-6.6249999999999964,0,"[9.743644709588627e-07 0.0053062868930080585 0.8142539435644777
 16.805680860954617 166.30758275499656 941.7792954211076 3131.427396869561
 6152.065663494498 7128.935975815769 4878.8569425342275 2070.776272734548
 721.3663037429628 454.3135958876029 463.4940687991401 565.7292031093394
 937.6389878428888 1604.911259125958 2223.9716765357866 2329.3136648221257
 1815.3757567015928 929.4161973617421]",[  836.30110456 25502.38745893]
26,-1.0,-1.0,-1,-1,-1,-6.889999999999996,0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.99999999e+00
 6.80000000e+01 5.14000000e+02 1.97800000e+03 4.24000000e+03
 5.34300000e+03 3.76500000e+03 1.70100000e+03 6.09000000e+02
 3.79000000e+02 4.05000000e+02 4.93000000e+02 8.28000000e+02
 1.46000000e+03 1.99200000e+03 2.13600000e+03 1.67700000e+03
 8.42000000e+02]",[  836.30110456 25502.38745893     0.        ]
27,-1.0,-1.0,-1,-1,-1,-7.154999999999996,0,"[5.082666299744343e-12 1.0544232347257681e-06 0.0046472145609993964
 0.6509815681534907 17.001423363334418 172.55545548048164
 896.7197547967128 2651.7797762502387 4671.809502864694 4937.425628470575
 3150.877279822911 1357.2812638427838 561.2805386497807 426.83900925083077
 502.39878534120385 789.0754426869714 1369.4867067300968
 1957.8018529211315 2163.1304195584244 1754.8457751896788
 907.7659564994343]",[  836.30110456 25502.38745893     0.        ]
28,-1.0,-1.0,-1,-1,-1,-7.4199999999999955,0,"[7.623718547512023e-18 6.398443102501503e-11 1.0641241942953069e-05
 0.03765547217678276 3.8597598823889814 53.45446957290445
 356.73522084005634 1387.8159906904589 3276.9668766949912
 4767.089464740478 4281.233310285829 2454.703391275435 1048.8531310931683
 524.835003292731 502.4239473789877 738.6116636519323 1253.43255724335
 1840.1704776407105 2104.703850311792 1770.6086387374617 939.7786419776071]",[  836.30110456 25502.38745893     0.        ]
29,-1.0,-1.0,-1,-1,-1,-7.684999999999995,0,"[1.3453621795930737e-18 1.1291399117598806e-11 1.8780605020012864e-06
 0.006670993397919115 0.7551021782575064 15.652415408504552
 134.63724513537474 660.9118265613305 2003.869922276849 3810.228194916491
 4589.859502593433 3543.397684949522 1849.7251431609966 817.8665597182971
 548.464217461641 706.5336062952623 1164.9065459110845 1736.2357033046776
 2030.1677756221425 1756.5936084152331 962.6653193826055]",[  836.30110456 25502.38745893     0.        ]
30,-1.0,-1.0,-1,-1,-1,-7.949999999999995,0,"[5.289548181413539e-26 1.8447155113619227e-17 1.2385146187338214e-10
 1.651776943793566e-05 0.04716515283187683 3.9891088588663326
 47.606304117914846 295.16453049623954 1118.054575597275 2679.652298916258
 4132.7624945563575 4140.207834554148 2764.0442761342115
 1354.3239398519813 707.7679404296689 699.4484956630854 1083.1789874359758
 1636.6553583243376 1979.2856249897138 1755.7211531057133
 975.7102696655577]",[  836.30110456 25502.38745893     0.        ]
31,-1.0,-1.0,-1,-1,-1,-8.214999999999995,0,"[1.0579096380221559e-26 3.689431278458325e-18 2.4770363637363744e-11
 3.303936658949349e-06 0.009473976495196282 0.8922055781100671
 16.092945637683343 125.01773227869222 577.9950026813818
 1709.8258674645435 3286.988993360605 4158.282390685612 3504.566753903145
 2063.734578044629 1025.6973456700084 751.6218704917122 1030.2246544439367
 1551.3599661185974 1915.8777755281533 1736.2186009417546
 982.0690043157928]",[  836.30110456 25502.38745893     0.        ]
32,-1.0,-1.0,-1,-1,-1,-8.479999999999995,0,"[1.219239303604622e-35 1.7925313981518628e-25 4.9950482192959154e-17
 2.682977797363404e-10 2.8700829705884265e-05 0.06619225821711779
 4.6722347053275906 50.08081322059736 283.47173810648087
 1020.1954423801138 2388.47768899815 3706.7241232384235 3865.961849539271
 2773.698997488469 1507.286686318165 909.9041986525318 1015.4575182744943
 1481.8834094919039 1852.1005763010637 1716.5483954893016 988.795733490128]",[  836.30110456 25502.38745893     0.        ]
33,-1.0,-1.0,-1,-1,-1,-8.744999999999996,0,"[3.2513048097063945e-36 4.780083734285953e-26 1.3320129275190021e-17
 7.15462283264756e-11 7.654215258718417e-06 0.01770796875638433
 1.3515904795785256 19.55583221417824 133.8233172717209 571.2101643738697
 1617.7688936099141 3020.904370450409 3810.338549657246 3306.3350158319327
 2071.127763937752 1187.1162825812128 1053.7577938119234
 1424.3584228634231 1793.7628399376865 1690.5103203729448
 986.0961223765402]",[  836.30110456 25502.38745893     0.        ]
34,-1.0,-1.0,-1,-1,-1,-9.009999999999996,0,"[8.12826202463373e-37 1.1950209358705223e-26 3.330032588693616e-18
 1.7886617178819373e-11 1.91381208868894e-06 0.004449158779423456
 0.3792784407920532 7.42632075914371 61.984692140421295 314.0386062401198
 1037.9190947034942 2295.1892440154493 3446.760336952517
 3567.5235656478735 2627.004112598872 1574.6182835674529
 1173.1566969396795 1394.3793308909537 1729.1375324489584
 1653.8346903716356 983.7460672532131]",[  836.30110456 25502.38745893     0.        ]
35,-1.0,-1.0,-1,-1,-1,-9.274999999999997,0,"[2.98302547e+03 1.42558975e+03 3.28335970e-01 2.27144603e-09
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 4.40000000e+01 2.47000000e+02 8.37000000e+02 1.92600000e+03
 2.95200000e+03 3.09300000e+03 2.32200000e+03 1.40100000e+03
 1.06900000e+03 1.26600000e+03 1.58900000e+03 1.52200000e+03
 9.05000000e+02]",[  836.30110456 25502.38745893     0.          1226.78352495]
36,-1.0,-1.0,-1,-1,-1,-9.539999999999997,0,"[288.0461349005637 2138.814013478102 1673.2211986203654 303.85964005422113
 3.5617020405533255 0.0016376834589277877 0.024564997178156696
 1.5683435090044122 20.196109460938892 132.7276256771325 531.4308874086697
 1417.0112418144274 2555.989385237148 3151.9637567922136
 2745.2497714743176 1834.5288313421022 1275.8582176321431
 1317.7821313532706 1587.256882626503 1532.0700544387112 918.8865877937933]",[  836.30110456 25502.38745893     0.          1226.78352495]
37,-1.0,-1.0,-1,-1,-1,-9.804999999999998,0,"[28.525541848809333 429.6002879973464 1691.9831083666033
 1580.7808066913005 493.2940163886226 48.95305502269363 0.7311000007668812
 0.47015518784749344 8.84700754830537 68.20633962977769 315.05691569659393
 971.7443359116862 2040.880110829452 2922.4071261191384 2927.497696418685
 2191.7877134853616 1501.1117223778633 1361.6145790180058
 1549.7385043827635 1500.868493986177 909.370719603143]",[  836.30110456 25502.38745893     0.          1226.78352495]
38,-1.0,-1.0,-1,-1,-1,-10.069999999999999,0,"[2.8976494622702194 68.310654224344 520.4545989901904 1461.6768614665677
 1429.5856956894459 563.731867925214 92.1145069050366 5.256684901522429
 3.4711290602508758 33.987834108807675 183.39429814782892
 647.5978159626694 1555.8348706361028 2568.1046031237306 2956.735087919692
 2491.8742874776003 1777.9916526884672 1466.0122478877447
 1524.0917391056978 1453.8014310771555 890.111109527659]",[  836.30110456 25502.38745893     0.          1226.78352495]
39,-1.0,-1.0,-1,-1,-1,-10.334999999999999,0,"[0.24064545296788808 9.686946643977096 118.99700601942514
 598.7276346424808 1330.6017889993307 1276.051800229869 556.8223311920676
 117.41443488133342 12.499744124513308 17.290974819845097
 104.30993093895098 421.5951233522205 1150.7499760986773 2151.650633235896
 2816.4368670507056 2691.1202885347943 2061.291118921083
 1619.2522284370993 1552.6166073155325 1429.7518200039067
 868.6868299776371]",[  836.30110456 25502.38745893     0.          1226.78352495]
40,-1.0,-1.0,-1,-1,-1,-10.6,0,"[0.005767020612125437 1.057483862905319 22.57287547894698
 180.78782492541674 674.1519110937802 1239.5930545307122
 1119.2864730708388 507.97685683626673 121.00442836118333
 23.059201287372655 61.26083585023901 273.018311252157 836.9514003413062
 1756.175034610685 2590.5177844433438 2766.6901906178846
 2299.6381391384703 1802.1031922655327 1610.6630447333644
 1416.611002939846 850.0676519622048]",[  836.30110456 25502.38745893     0.          1226.78352495]
41,-1.0,-1.0,-1,-1,-1,-10.865,0,"[0.0007223391141155764 0.14014302320798855 4.034527767956135
 46.158917102097945 255.7502069923527 745.5776997698664 1169.032483409644
 971.4484195116034 440.51423448941017 114.23461583864173 48.50623675970039
 172.09036078109318 594.9780917454325 1398.6528178841734 2302.395764923948
 2736.883878538108 2487.0933514847193 1986.623161903483 1687.81917519759
 1420.6970426918792 838.9183723493782]",[  836.30110456 25502.38745893     0.          1226.78352495]
42,-1.0,-1.0,-1,-1,-1,-11.13,0,"[7.794688742411803e-07 0.004240320179325786 0.6307157873056156
 10.785260421597133 82.72143461471484 345.7962712370199 815.7001411269642
 1096.8744022229614 834.0368716037433 364.74518882754387
 111.01848255128345 123.03336956899747 416.7001689072314
 1084.1609910973768 1991.8838007405072 2634.145217991351 2605.870575519426
 2163.6708402517625 1781.8406455924437 1434.4447262313324
 824.9920958732366]",[  836.30110456 25502.38745893     0.          1226.78352495]
43,-1.0,-1.0,-1,-1,-1,-11.395000000000001,0,"[1.6942155717305044e-11 3.514195865975535e-06 0.01539953483896368
 1.847340825761449 23.766297508089654 136.3344618322512 449.7837430261236
 882.380860298204 1021.211176103968 695.2160001186868 289.68145766410464
 136.3323650185711 299.87056984585536 835.8044406811107 1679.4512010588999
 2440.131080326667 2650.371932528602 2321.945789726556 1893.2999327021091
 1460.5868351103695 820.5124721402924]",[  836.30110456 25502.38745893     0.          1226.78352495]
44,-1.0,-1.0,-1,-1,-1,-11.660000000000002,0,"[5.41946929e+03 2.58996778e+03 5.96510732e-01 4.12669357e-09
 8.00000000e+00 7.70000000e+01 2.81000000e+02 6.18000000e+02
 7.72000000e+02 5.56000000e+02 2.30000000e+02 1.08000000e+02
 2.53000000e+02 7.41000000e+02 1.46100000e+03 2.16500000e+03
 2.39700000e+03 2.10900000e+03 1.70900000e+03 1.32900000e+03
 7.52000000e+02]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
45,-1.0,-1.0,-1,-1,-1,-11.925,0,"[523.3133934832783 3885.731776297598 3039.8570188865156 552.060603664874
 8.281938633618083 24.238300098302478 129.92936954613594 381.9271288153229
 678.1201208922773 718.0620622578382 455.8860939929421 202.60875535718398
 212.30224628543192 577.9602070444921 1264.1286534230394
 2025.1126652988412 2427.843219034821 2279.7677130290817
 1871.2178676944761 1409.3252576984858 777.2613869057342]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
46,-1.0,-1.0,-1,-1,-1,-12.19,0,"[52.07566422344925 784.0857899242088 3087.137887898025 2881.1543728787897
 894.8578663487227 95.67772626817484 51.83317145062338 200.50870178504235
 477.84983550203503 693.4413377621504 619.3604018785019 361.5522778376904
 233.52277750315488 451.60745111091444 1046.30851658906 1816.7421029299005
 2338.78281639864 2340.9624011849587 1975.2991136215749 1457.5075736013016
 787.9296775976104]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
47,-1.0,-1.0,-1,-1,-1,-12.454999999999998,0,"[5.258860066279249 124.01518830460161 947.0876769449732 2665.7155506984304
 2604.402300453263 1031.2385930487849 187.5686216333921 105.62072608010892
 293.27878181951405 557.1206072248118 667.6506283112026 517.172002216293
 321.1412416866732 392.41984317038543 865.7977072222886 1600.3314643902402
 2213.2548626011894 2354.485788808131 2058.595198655827 1517.5582445918997
 807.4214708352881]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
48,-1.0,-1.0,-1,-1,-1,-12.719999999999995,0,"[0.5688745480619398 18.533539838801058 216.60112113396622
 1092.8593958245183 2442.66265824522 2335.6099512353035 1035.31679583147
 256.84962296314785 183.20824739880695 391.27524378635957 602.36763331543
 607.8004913412688 439.5417361740937 393.21265551678505 723.4536266137557
 1397.726560226506 2067.2910549116086 2339.358449726301 2122.4497784837135
 1577.0995264645317 831.2374905523527]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
49,-1.0,-1.0,-1,-1,-1,-12.984999999999992,0,"[0.0122480013846938 2.209597152556566 42.70628659662439 328.99049405659383
 1229.1400856819992 2277.9531912945868 2069.42314308304 958.1746637620464
 304.16796786558325 275.210765347251 479.7868112209518 609.1213204131692
 539.0615439596498 442.05305142170704 637.5282750161446 1220.8078017670591
 1911.4066521665432 2290.1736145223886 2167.957812847976
 1636.7573554376063 851.4081560384893]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
50,-1.0,-1.0,-1,-1,-1,-13.24999999999999,0,"[0.0014442884810874459 0.27816325093441124 7.742190397484741
 85.68948317326515 466.88777664920707 1359.5785104667432 2148.292602709314
 1806.947599395799 850.3160272854444 348.2255914982836 373.00533698277854
 541.4585479285795 578.6385954636436 506.28046861897207 604.4155666966208
 1074.0460258429484 1755.2815678796785 2214.0864004467803
 2183.1090031241915 1682.3700590720043 875.781831297284]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
51,-1.0,-1.0,-1,-1,-1,-13.514999999999985,0,"[1.364072647693492e-06 0.007420999604769912 1.1056803079192223
 19.11477736072179 148.6218454321724 627.3041715555607 1487.876418084178
 2009.4470943430008 1545.7505487482167 743.2899816824338
 399.72067299124757 467.78640617242337 571.0676991645321 555.8524583908344
 607.3258270563042 973.1022909960367 1610.5389249159778 2134.1262153985895
 2194.738521015062 1721.2591183899872 903.4663438164749]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
52,-1.0,-1.0,-1,-1,-1,-13.77999999999998,0,"[1.9488034874071867e-07 0.0010628036283958594 0.16962718482356834
 4.176074470376409 43.885125755258045 247.3120377370215 814.4959807786106
 1595.0504369684652 1853.2183326720751 1310.6809580115535
 665.1078046694599 462.1037986152436 534.3243973804927 577.8233886884775
 620.992916542819 903.8714743106119 1474.361984026211 2039.5954009582713
 2181.8259500285635 1747.3362530324562 926.0915201409398]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981]"
53,-1.0,-1.0,-1,-1,-1,-14.044999999999973,0,"[4.82135639e+03 2.30412924e+03 5.30677576e-01 1.00000000e+00
 2.10000000e+01 1.32000000e+02 5.20000000e+02 1.13400000e+03
 1.38400000e+03 1.03600000e+03 5.27000000e+02 3.90000000e+02
 4.61000000e+02 4.99000000e+02 5.52000000e+02 8.10000000e+02
 1.32100000e+03 1.83200000e+03 1.99800000e+03 1.61900000e+03
 8.45000000e+02]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981  1877.71429589]"
54,-1.0,-1.0,-1,-1,-1,-14.309999999999793,0,"[465.5585699713322 3456.8878835832556 2704.3685715409074
 491.33064437841085 10.973457875353462 46.79816983323304
 234.16292717525513 702.4424257374277 1233.8291746827958
 1305.6438836075388 891.473630499103 516.2001255429037 457.2637641399185
 511.3671335543641 575.7337259065984 792.3283067287998 1263.2967542482888
 1797.9956812569583 2021.2820270366879 1684.0156828692461 898.092589254477]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981  1877.71429589]"
55,-1.0,-1.0,-1,-1,-1,-14.57499999999955,0,"[45.50904258261867 689.952164793409 2734.2886515623263 2567.49642158455
 795.6589551907841 92.71986572542752 96.3102090403398 367.67088890150205
 867.9680218541097 1252.6516721263229 1149.858595466877 754.1858395445463
 515.3548200621863 504.92973397924095 573.4796162835536 766.0164925245218
 1190.8100179760668 1709.7498021505382 1975.7355870832955
 1696.8092463719192 918.2499143363589]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981  1877.71429589]"
56,-1.0,-1.0,-1,-1,-1,-14.839999999999185,0,"[4.6168580086216835 109.17504549951259 837.0694050075532
 2366.9460749172663 2322.687890975851 920.7996883869369 185.21352485519535
 184.13830889620795 526.9183595089675 1001.3596278133213
 1210.8674998498927 986.0839240631179 661.478702933983 530.1728295764548
 573.8937062579887 743.1261071734588 1117.747101636208 1620.2872850161423
 1912.2952424713712 1682.350735717854 929.3778181744412]","[  836.30110456 25502.38745893     0.          1226.78352495
  2778.00174981  1877.71429589]"
