t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop,nonlocal_crab
0,-1.0,-1.0,-1,-1,-1,0.0,0,"[1.82590327e-03 3.02694793e-02 3.45787265e-01 2.72393119e+00
 1.48067278e+01 5.55730729e+01 1.44091753e+02 2.58201108e+02
 3.19840489e+02 2.73909624e+02 1.62161994e+02 6.63525341e+01
 1.87571624e+01 3.66149499e+00 4.93253667e-01 4.58261480e-02
 2.93415241e-03 1.29380664e-04 3.92617755e-06 8.19394932e-08
 1.17548360e-09]",[]
1,-1.0,-1.0,-1,-1,-1,-0.26499999999999824,0,"[1.6942209083335847e-12 3.5146437573321383e-07 0.001547402581143156
 0.21112330596343032 5.165263480627974 58.431498582471036
 382.55157689323096 1483.9080779701292 3489.4762445747415
 5081.436627386632 4633.199778216829 2803.6233876909773 1453.4168883107445
 1075.5981698594774 1085.3532326450293 1111.8854213532454
 1144.123171723623 1210.3176462039496 1217.7377280441906
 1023.8511297177406 581.2056063561058]",[]
2,-1.0,-1.0,-1,-1,-1,-0.5299999999999978,0,"[2.24227018530264e-18 1.8818958765464466e-11 3.1298338681882515e-06
 0.011082718574881596 1.1569664651840592 17.788431666893782
 143.18669257907248 702.5841323155441 2127.238333647938 4047.1918315938724
 4921.785581488495 3898.751147606558 2232.850040449274 1317.526332371894
 1112.5145220404877 1121.5036719410218 1163.5028930504727
 1223.0470919036195 1227.0815249811014 1033.3743915741188
 583.3755945709372]",[]
3,-1.0,-1.0,-1,-1,-1,-0.7949999999999977,0,"[4.484540539870821e-19 3.763797656182824e-12 6.260064061875017e-07
 0.002221829841920233 0.246533287646531 4.942916433986371
 51.514841047818194 314.5008308214149 1185.3841408150845
 2846.9875784937963 4421.856372876797 4502.844965603682 3159.1077003193077
 1826.9898274917548 1253.5357716934507 1157.245691633255
 1182.3436712053876 1241.1138341941346 1237.6493809567123
 1041.5896353229884 591.0938077271458]",[]
4,-1.0,-1.0,-1,-1,-1,-1.0599999999999978,0,"[1.4105461828373962e-26 4.919241529341363e-18 3.302710267601534e-11
 4.40498654339906e-06 0.012603907374953233 1.1250361446718589
 17.168039813422993 133.5258108993847 617.7989469564448 1823.3064541496296
 3520.582977231254 4495.018831712838 3903.224793120741 2520.488473934302
 1554.8158863769013 1236.5088256933316 1207.984038986195
 1256.6386255201332 1249.8726730932406 1052.6378617761118
 598.0468301316042]",[]
5,-1.0,-1.0,-1,-1,-1,-1.324999999999998,0,"[3.526365460344795e-27 1.2298104301361782e-18 8.25678898913327e-12
 1.1013181821137047e-06 0.0031586312120484078 0.2989801410819745
 5.668149957524409 54.48145049237762 305.9834662184498 1093.738929351639
 2557.5312193054356 3992.9330851042805 4243.441609122389
 3214.6327894579886 2016.662699685513 1404.1383544642874
 1257.3016588481557 1274.7492439132413 1258.9829910065812
 1061.1210846399306 603.2332170491634]",[]
6,-1.0,-1.0,-1,-1,-1,-1.589999999999998,0,"[3.251304809728187e-36 4.7800837356483434e-26 1.3320129435128459e-17
 7.154626393962967e-11 7.65436830967069e-06 0.017721103438892768
 1.3760384300510304 20.947739585171835 145.04032341172066
 618.5885087018706 1735.3938764861628 3248.0866861106324
 4147.8348728792525 3724.37207581881 2570.6115462697776 1693.7782970057908
 1355.030385796738 1307.1453081547077 1274.7869853410725
 1064.7628563555447 603.9618215314667]",[]
7,-1.0,-1.0,-1,-1,-1,-1.8549999999999982,0,"[8.128262024524768e-37 1.195020935189327e-26 3.3300325087243982e-18
 1.7886599372245435e-11 1.913735563765153e-06 0.00444259333763763
 0.36718526681202357 6.926822880117231 65.22430780430749
 337.37199239483857 1117.671698396075 2482.8611388709273
 3751.5813228493475 3961.6678984809023 3098.9863269229854
 2068.6591968703315 1507.4910384432164 1354.9101746632564
 1293.315080984847 1073.7185073701928 597.9583158676795]",[]
8,-1.0,-1.0,-1,-1,-1,-2.1199999999999983,0,"[2.33228675e+03 1.11460130e+03 2.56710390e-01 1.77593639e-09
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 5.00000000e+01 2.58000000e+02 8.83000000e+02 2.05900000e+03
 3.17000000e+03 3.42300000e+03 2.70300000e+03 1.84900000e+03
 1.35700000e+03 1.21300000e+03 1.17500000e+03 9.87000000e+02
 5.57000000e+02]",[836.30110456]
9,-1.0,-1.0,-1,-1,-1,-2.3849999999999985,0,"[225.20967022439078 1672.2376740552006 1308.2126392143268
 237.57350312906183 2.7847266281739023 0.0012832935085579794
 0.02459836016226233 1.6184169832574855 22.351710708473387
 141.17988830197243 559.9132508990107 1508.6930383682543 2743.091658752009
 3447.912099818496 3128.4321031934023 2271.450773800836 1606.9015516487118
 1329.7342251278794 1232.0418085935835 1023.5418190664344
 575.9411699376309]",[836.30110456]
