t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
0,-1.0,-1.0,-1.0,-0.9625746,-1.0,0.0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,-0.9843244,-0.73601687,-1.0,-1.0,-1.0,-0.0024194683437651398,0,"[67.55627403280914 1024.7471474112558 4059.9184277917266 3800.697119402658
 1177.6954656375694 134.44138256402908 110.39044145873615
 368.09807818945956 733.0653225661681 877.9937083051769 649.0950839974691
 316.0861166494326 135.51636331229145 72.41034387286736 43.350794663599046
 19.67214257328798 5.941564083012063 0.9848482580554703
 0.018022563583469986 9.602561638399898e-06 1.1072875949480476e-10]"
2,-1.0,-1.0,-1.0,-0.8059021,-0.933653,-0.004332758354820783,0,"[6.967284970176826 163.0571526739025 1244.1843869602528 3507.659880155633
 3416.129874025981 1347.240761373895 262.6832474703263 198.35510945369876
 485.6826744024729 785.6112739244174 795.6037721576809 520.7089467909526
 241.05457874635266 106.4401135229893 55.714272803456495
 28.140356214460045 9.362106920577205 1.3486775485546798
 0.024053608254236192 1.2803753591028588e-05 1.4763834599307302e-10]"
3,-0.9392834,-0.62078774,-1.0,-1.0,-1.0,-0.026740904228166894,0,"[0.6909979582552169 23.699258964208177 281.92176512628635
 1427.1128288905484 3190.3991846538734 3050.55090563869 1343.0006779269015
 342.4330121784519 239.0027331804406 393.3776550115023 485.49484692266185
 411.9613525217484 230.74439554020336 101.18577858401063 48.05009191532637
 21.989418606797944 9.231241876270529 2.843283921207002 0.3033172038880789
 0.004340104652200361 1.864091907277654e-06]"
4,-1.0,-1.0,-1.0,-0.80850816,-1.0,-0.030120070001311998,0,"[0.0165683954513405 2.976267789747831 55.95572891375343 428.461541975322
 1607.0551007697075 2974.7483471139462 2693.456559212592
 1250.3177707674877 399.65601813745604 314.2304262707006 436.3429778141641
 455.8146501080204 328.3237213512632 168.0582131365999 73.42019401635358
 32.02840132519139 13.39731365000957 4.154859675915937 0.5766691876683674
 0.00866420607523255 3.7279992666228168e-06]"
5,-0.97590846,-0.7062158,-1.0,-0.7506217,-1.0,-0.044278892875690444,0,"[0.0014466268165530978 0.29086945169995293 9.56963480243044
 110.19859198015266 607.1028001019234 1775.9038324683079
 2764.4918372581433 2263.8311812611614 1047.2223826191491 412.702338397502
 360.7171428376848 418.76554348655753 359.7267136344599 218.3840673150761
 102.54431357846863 42.035392767113606 16.911168139645874
 5.731758887550889 0.8559870729449748 0.01299150775401392
 5.591943535554478e-06]"
6,-0.96642315,-0.73866886,-1.0,-0.79360867,-0.7401608,-0.06464637800539617,0,"[1.7538180971943781e-06 0.009543443746165205 1.4310187005733555
 25.60513823556023 195.66669315024677 810.093203514976 1887.4184486803294
 2441.6974439133924 1781.245168008686 812.3501556797364 390.47438271017876
 360.1860458897996 353.8761371589536 253.23947303348655 136.20834215432774
 58.77755141165707 22.30353542979393 7.999405874928051 1.3966654265089504
 0.02163650948614404 9.319721344658305e-06]"
7,-0.8823758,-0.68319374,-1.0,-1.0,-1.0,-0.12553320653946312,0,"[1.948905140302923e-07 0.001064912113546906 0.17886152288597046
 5.265479806795184 56.33483562951336 313.02303876771816 969.6448405288153
 1597.046565457807 1295.6615370987809 496.88963202644527
 147.69447047030943 68.93816618500723 63.12932180663111 52.90845036934546
 31.206893974242092 11.922060823337468 3.581877909221684
 1.2952354229791254 0.2733411279687462 0.004324101266999225
 1.8639073593451627e-06]"
8,-1.0,-1.0,-1.0,-1.0,-1.0,-0.12661545784982378,0,"[7.24316074e+03 3.46151106e+03 7.97241000e-01 2.00000001e+00
 1.90000000e+01 1.73000000e+02 6.11000000e+02 1.13400000e+03
 9.69000000e+02 3.80000000e+02 1.15000000e+02 5.20000000e+01
 5.30000000e+01 4.10000000e+01 2.50000000e+01 1.00000000e+01
 3.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
9,-1.0,-1.0,-1.0,-0.76028174,-1.0,-0.12715923145829625,0,"[699.412216177236 5193.30922415084 4062.7944365444127 738.185150749742
 14.283366089342028 55.355638730373656 285.1473061659701 762.1987946668946
 1093.5812198292651 802.7318310389528 317.4733047709351 102.89013910169784
 57.40558651240498 48.55248088458529 32.903720529168446 16.228814417999008
 5.611281587289566 1.6262021470607373 0.27935045775948797
 0.004327302146883705 1.863944268931661e-06]"
10,-0.9842037,-0.7351331,-1.0,-1.0,-1.0,-0.1374683386496358,0,"[68.93278428570805 1038.847857321122 4098.081685582879 3845.9301516589967
 1194.7187814060271 134.3514089843139 112.08422154200348
 395.12594537208673 783.6549117265166 894.773549899847 570.723770100686
 220.57037744331714 81.67886040035616 49.62971174695853 34.31717287800661
 20.120146128472854 8.571430534767595 2.2634432032309357 0.291352830366721
 0.004333703672600997 1.8640180881046575e-06]"
11,-1.0,-1.0,-1.0,-0.8059021,-0.933653,-0.13894715545198394,0,"[6.979495753892724 165.06468315171398 1258.5646908724136
 3536.8523842769305 3473.713413267004 1374.857885355662 265.46900459269636
 204.02566210151596 513.6997304149868 817.3105747633574 767.7080428197066
 431.68935710058 168.34832351455188 69.40811185597701 41.856412589659605
 25.705011791976975 12.287969802950862 3.8484398125991595
 0.5706761422463212 0.008661005429397961 3.7279623570363185e-06]"
12,-0.9428158,-0.6362777,-1.0,-1.0,-1.0,-0.16116171228696266,0,"[0.6924362059385107 23.94457756975878 284.8543039307735 1439.4498479065035
 3218.3689936446362 3086.7619639201944 1360.9635268757183
 352.70447956392724 256.74367278911785 413.56358088100905
 489.2367209182249 372.95941780211473 181.42711128878724 75.00540160069038
 34.505400230292494 18.279378775140675 9.988410559009687
 2.4998613873089393 0.047976921528687044 2.5605634769276797e-05
 2.9527669198614603e-10]"
13,-1.0,-1.0,-1.0,-0.80850816,-1.0,-0.16401974864653537,0,"[0.015851317556020574 2.864706250733945 56.00024997192638
 433.6037681342832 1624.9479207836762 3015.8154117685754
 2724.1635480297814 1267.6731200701965 413.4855906831019
 333.77087829139964 445.89080433472674 435.9829550356456 283.570997040902
 128.89397128483463 51.807607883743486 23.91058890712661
 11.894806300814167 4.121906158187185 0.576647471159873
 0.00866420576316329 3.7279992666228168e-06]"
14,-0.9755603,-0.72899246,-1.0,-0.74579024,-1.0,-0.17740333420475812,0,"[0.001446431975171307 0.2898147306531716 9.43541509323364
 110.2309305689625 613.9086284245145 1800.4930791252352 2806.573716354229
 2306.2221823154555 1071.8589028535457 416.6080252213822
 361.78454592264046 411.0386704029537 339.7930965190265 190.5307543567782
 78.87852315136132 29.937897594393547 12.775348160506482
 4.7880434082873204 0.8379916539386173 0.012981905582461373
 5.591832806794983e-06]"
