t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,-1.0,-1.0,-1.0,-0.9999999,-1.0,-0.019950958386277765,0,"[6.83516781e+03 3.26653099e+03 7.52333990e-01 3.00000001e+00
 2.70000000e+01 1.55000000e+02 6.19000000e+02 1.20900000e+03
 1.48800000e+03 1.08400000e+03 5.58000000e+02 3.47000000e+02
 2.51000000e+02 1.61000000e+02 7.50000000e+01 1.80000000e+01
 2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
2,-1.0,-1.0,-1.0,-0.9977831,-1.0,-0.026047396911296254,0,"[660.0157080263326 4900.780377537004 3833.946967186868 696.8102623947728
 15.992004104268146 56.84484281914904 276.71761291879835 792.3764615399567
 1324.823610490367 1391.6667635255696 936.4612918682368 509.5673699062289
 321.04857476511387 212.92088164727326 115.70369580825586
 41.570250327791264 8.14997808431752 0.7445901142092644
 0.01207295573813505 6.402539945438157e-06 7.381917299653651e-11]"
3,-0.9578987,-0.73486465,-0.9999875,-0.97924745,-0.8770878,-0.038248886782849545,0,"[64.3221446140605 978.1592531747103 3881.0603792828997 3628.467581991184
 1130.0194453971644 130.2594006378926 114.99684138920288
 420.70910708451197 945.6158791374681 1327.2501932048574 1215.977822450801
 774.9438098665426 438.6013075375986 266.8519976513059 155.6824321950701
 69.9487461965836 20.057388151311372 2.722238501189052
 0.048123506902514435 2.560774123605558e-05 2.9527669198614603e-10]"
4,-0.75101614,-0.60401523,-0.9999999,-0.16069925,-0.9879843,-0.06536801239571273,0,"[6.741062329347285 156.04237048597886 1185.1436909608663 3346.410178549807
 3284.5272137095294 1297.081915615445 249.45271180913912 187.1181499930718
 415.0646545875845 600.5380382496988 601.9737864632946 458.79820977887107
 279.59281789534595 156.81686240908053 96.02619215174451 51.94956390788981
 20.4590635292728 4.154958781389686 0.0780235752049635
 4.1610034194894396e-05 4.798246244774873e-10]"
5,-0.9834609,-0.62018234,-1.0,-0.8964319,-1.0,-0.10265693236656526,0,"[0.6845259410299294 22.59583784148881 268.72799807902254
 1364.6178742919285 3036.5647151537255 2887.9279533293025
 1261.5060042308378 305.9819980916657 196.77373260247916
 321.57053477781693 392.83236684578895 344.0440836644972
 253.37474567205277 147.604707209404 78.50118034332544 41.78553152100777
 17.57384037346951 5.466444510549976 0.8500211716114978
 0.01298830749826485 5.5919066259679795e-06]"
6,-0.9805603,-0.6677201,-0.9999996,-0.9891549,-0.8740676,-0.10941551116492602,0,"[0.015130147708749334 2.730936885123312 52.96939345026318
 410.0181291743656 1530.9611180079182 2814.433207802413 2526.4178175663837
 1146.5860641771637 342.78166637876615 245.59193868758356
 336.46777103463273 358.87469438797297 286.84003116958445
 186.63029409786083 102.62783528683066 52.19894191579482 23.40466266396344
 8.032031957799285 1.3966871371549499 0.021636509798209302
 9.319721344658305e-06]"
7,-0.8715192,-0.60358846,-1.0,-0.9554351,-1.0,-0.13656569786871417,0,"[0.0014458473917284486 0.2866382683222343 8.978939903265466
 104.15305245142599 579.6370186202952 1693.0464734506374
 2618.3372188995604 2085.5476307317476 844.3177017825662
 233.12995716792938 134.4547333429886 147.50635029447025
 137.03902365432307 96.53753387422994 61.19477828891085 35.731698239435545
 16.06619373530604 7.477380884421761 2.3004284097129033
 0.25271265129083664 0.0030882161459782065]"
8,-0.97786003,-0.79251003,-1.0,-0.8395221,-1.0,-0.1415442187933095,0,"[1.5589580790502965e-06 0.008484857234859044 1.2798846027308999
 23.6940732001672 185.00187628322033 774.0234451917277 1832.0211189746349
 2417.7473544327436 1739.221174076277 699.0913710435599 222.9764122276809
 146.0610388290167 144.2541146930126 113.51412067617028 73.57190879017077
 44.20357568754578 21.998480650948903 8.855032565902302 2.9908675654980303
 0.4794966995351395 0.0061652490323482745]"
9,-0.9661012,-0.7656103,-0.9999999,-1.0,-0.83348167,-0.15333165772883875,0,"[1.948837371784992e-07 0.0010635065232730606 0.17271635535022642
 4.578247535690942 51.7772721443149 302.2851461249438 990.151720327608
 1884.51190508004 2083.9403405967314 1331.4937061231456 525.601815660839
 196.26734230404855 138.20315835074976 117.85341338191098
 84.78080215318994 50.90328344111455 26.677857230693512 11.028049149610288
 3.282160678967605 0.48383040234955244 0.006167113050436379]"
10,-0.7650711,-0.69540966,-1.0,-0.86041003,-1.0,-0.18757835924948374,0,"[7.47399390e+03 3.57182638e+03 8.22648370e-01 1.00000001e+00
 2.30000000e+01 1.70000000e+02 6.36000000e+02 1.29900000e+03
 1.53600000e+03 1.03100000e+03 4.18000000e+02 1.57000000e+02
 1.17000000e+02 9.80000000e+01 7.50000000e+01 4.50000000e+01
 2.50000000e+01 1.10000000e+01 3.00000000e+00 0.00000000e+00
 0.00000000e+00]"
11,-0.97182226,-0.7354102,-1.0,-0.6694882,-1.0,-0.19618367960394062,0,"[721.7018686650782 5358.8154233984105 4192.270493111648 761.5404568936221
 14.649049971422047 57.05103779956634 286.4941357510397 803.4879926195482
 1326.0131989755528 1317.6111262668144 790.3649835514432
 321.00208070573626 142.95479316861665 105.76500333312961
 83.47576730443687 56.58086787673263 32.22812190955972 15.26946611663924
 5.023899030764391 0.7278884495026559 0.009251601307876722]"
12,-0.97514963,-0.69485146,-0.9999998,-0.3102846,-0.9566094,-0.21292901867033248,0,"[70.03285952216082 1068.0205817581123 4246.814493973963 3972.064561745763
 1235.8519490838125 139.01486121159448 110.23591783176805
 388.3916812344759 852.0012112285439 1158.7536013749966 974.3515028226323
 536.6515722404201 224.2914718204329 109.84664307821697 81.2412700687682
 59.47443850268124 37.207005330205874 18.306534234989496
 6.9093997156885365 1.1900823424440836 0.015409394636968443]"
13,-0.9678628,-0.6288963,-0.9998441,0.22535217,-0.9997646,-0.2505549312196124,0,"[7.477849789544576 171.3258244718202 1296.1899508522981 3658.5201545927366
 3585.359190018943 1418.4476639905197 261.39923976757126
 162.78626089575755 372.7115005638779 592.9573207379326 628.1232390417827
 437.96875754875805 225.86956746901896 95.94242602958933
 55.369119357803044 35.07019448122402 22.18695324823661 14.265098489668654
 5.379984933984515 1.4096465027222973 0.20400636245343684]"
14,-0.9865116,-0.63801086,-1.0,-0.89721274,-1.0,-0.30056081118144345,0,"[0.7944081704643539 25.589119276330038 297.10844050195965
 1490.5235174726768 3319.8753010681694 3172.920478761495
 1362.4811633839756 303.44200989717837 162.69798210296278
 271.0724308850892 349.4269111239442 299.31773360331925 185.73486976485626
 91.7683205037844 42.82268275937296 25.912364822468575 14.510503559918247
 7.857023766832494 4.966144334021423 1.1597976317502394
 0.015396347100905095]"
15,-0.9865093,-0.7095407,-0.9999965,-0.9977693,-0.90307623,-0.30671978921921367,0,"[0.016571707954748164 2.9942395132597603 58.418880038473404
 448.65599139159343 1668.4275016574484 3089.2514199068355
 2781.4595693856404 1254.0788897533102 346.4939105978607 207.0709445853907
 294.78337706089906 317.3306657479634 234.40767462655427
 132.85618209366868 63.34241001022937 32.16921560793174 16.983144358741345
 8.74350259231323 4.691857234135354 1.6148036451343366 0.207074075729191]"
16,-0.867417,-0.6224685,-1.0,-0.98052084,-1.0,-0.3280452977721091,0,"[0.0014472113864422518 0.29404310284657875 10.013819031180352
 114.89976500489313 631.9592308807448 1852.261020162011 2877.7496270739666
 2325.270960017411 964.1530630330609 249.7780674270746 143.4484675872842
 161.1739730666842 143.17183055775462 91.18978125119608 45.48983574671519
 19.449757190039286 11.67573929710835 6.72988368133851 2.163829167220605
 0.9258513086471685 0.1978392498090059]"
17,-0.9705668,-0.7847485,-1.0,-0.8074512,-1.0,-0.33302567294123264,0,"[1.753819791417529e-06 0.009543795229359721 1.4325692317993932
 25.82718569206614 201.53641090477063 848.6516148632385 2007.6364047686086
 2659.7776147136415 1956.9238035002218 800.2018299776901
 244.44775010559576 155.70873406468075 149.8734891926331
 112.20822889289667 65.0330375495634 29.641536183108528 12.714696621301917
 6.93504828306887 2.954855018142091 0.47947749487997005
 0.0061652488108907555]"
18,-0.9650305,-0.76485926,-0.9999999,-1.0,-0.8315645,-0.3479385394833321,0,"[1.9489051403298304e-07 0.0010649121361296415 0.17886527858587956
 5.278765633536242 57.68471712461594 330.8547047468562 1084.5878046015434
 2049.695916363801 2275.9642778381913 1493.7073747924308 590.6080210373652
 209.72629013193557 143.24595373825434 120.9976209429677 78.96308074288457
 38.02697050620446 16.437276680820183 7.588775194140867 2.9668682491664184
 0.4794838965617221 0.0061652488847099285]"
19,-0.7422557,-0.70591605,-1.0,-0.8775283,-1.0,-0.3827232184107889,0,"[7.78968600e+03 3.72269583e+03 8.57396001e-01 5.93151199e-09
 2.30000000e+01 1.71000000e+02 6.68000000e+02 1.42000000e+03
 1.69400000e+03 1.15800000e+03 4.70000000e+02 1.74000000e+02
 1.23000000e+02 1.02000000e+02 7.00000000e+01 3.60000000e+01
 1.30000000e+01 6.00000000e+00 2.00000000e+00 0.00000000e+00
 0.00000000e+00]"
20,-0.9672305,-0.7196663,-1.0,-0.6496467,-1.0,-0.391541368507562,0,"[752.1856471824547 5585.165041309521 4369.34512155489 793.5309276712052
 14.343741982680601 57.0701946851324 297.2493200736934 866.8589772135638
 1459.087661648803 1466.539106980111 896.1692724893804 358.5582198085876
 151.71595360695844 109.34311175174314 81.80635052206009
 47.933524547218035 20.770509333147018 7.6093092737829995
 2.717559013757648 0.4751725987362452 0.006163385124988929]"
21,-0.97130513,-0.69712967,-0.9999992,-0.3072102,-0.9517384,-0.40984719842015116,0,"[74.51567384460056 1122.8392088819783 4424.92306866564 4134.363737151623
 1279.1923885966462 142.80976176903135 111.53652056268687
 408.9247401089223 915.1349695435035 1249.360208646262 1078.1207257135507
 591.6365049385018 237.23851703893843 117.04625759145468 79.15187739758332
 52.026991756087575 27.905860944479116 10.308063474654318
 2.354414658426781 0.2527414578054886 0.003088216478164485]"
22,-0.96468085,-0.6340239,-0.9999596,0.22633529,-0.99972254,-0.44869652163138735,0,"[7.907997458810493 181.52717445193701 1365.811086231997 3821.4946297670667
 3723.4329299498486 1469.5325720945498 273.27174509174125
 160.87147508269814 381.9432409086162 636.1174363497177 686.5608625656087
 479.1317852097941 236.44890795631034 98.56303999965017 45.48501669027121
 28.710821693872383 16.80829068420178 7.886661069396607 2.972855860168808
 0.47948709712953574 0.006165248921619515]"
