t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
14,-0.97533244,-0.77781606,-1.0,-0.8295125,-1.0,-0.2878025707332236,0,"[1.7537977666381019e-06 0.009539226967816087 1.4125819460358777
 23.539008769038052 181.5318049427622 769.3314364356213 1790.9234431949458
 2293.1876849030677 1621.0389229128666 661.2731608809936
 231.03027209523225 173.43638618598905 190.35707268989196
 159.66044726022906 95.77185794616496 47.35319392750335 23.959260845838692
 12.724550137510516 4.7265694465096 0.723551545418275 0.009249737252879031]"
15,-0.9700467,-0.74929845,-1.0,-0.4785113,-1.0,-0.30061452269143324,0,"[1.9488712560058391e-07 0.0010642092864178471 0.1757836190296879
 4.903106959722727 52.32878719651131 297.62434266780735 971.2054295579993
 1810.453727511798 1955.7118633409707 1254.2379678460816 511.620862004958
 213.40908826146847 175.8342495544269 164.72151417183747
 115.99646822217386 63.78771173381911 30.777257439751082 13.83706935132593
 5.411042704218192 0.9503323934068311 0.012326770102339513]"
16,-0.9689095,-0.72255135,-1.0,-0.61047006,-1.0,-0.32621892570625804,0,"[7.43210077e+03 3.55180562e+03 8.18037271e-01 2.00000001e+00
 2.10000000e+01 1.69000000e+02 5.92000000e+02 1.25400000e+03
 1.47000000e+03 9.89000000e+02 4.17000000e+02 1.84000000e+02
 1.45000000e+02 1.40000000e+02 1.00000000e+02 5.20000000e+01
 2.70000000e+01 1.10000000e+01 4.00000000e+00 0.00000000e+00
 0.00000000e+00]"
17,-0.97603947,-0.71420115,-1.0,-0.62251353,-1.0,-0.3442168851322132,0,"[717.6565943314863 5328.778258224068 4168.773573026926 757.4355337612122
 14.885666703662201 55.36178981082086 269.55247504791095 725.931978966737
 1169.7291209721582 1144.207374220572 702.8240977244631 299.55064082829875
 155.96889396604217 129.97208798346477 102.94675476171584
 61.11382384378065 31.723985662427438 15.074631566400779 5.684345828215649
 0.954656494127709 0.012328634009698858]"
18,-0.977253,-0.66497666,-1.0,-0.512097,-1.0,-0.3617860639382086,0,"[71.17024752591202 1073.1406201364323 4232.236165306402 3961.372390881889
 1235.7682351933026 139.48064495444882 106.4753500466717
 359.50550816423566 750.3806222647091 998.5030634924407 838.7296633140402
 466.84870883076377 206.99200796938547 119.88038028431086
 93.46453369965998 66.29712579260068 36.00795314270192 15.744680607057534
 5.696369914725821 0.9546628959654938 0.01232863408351803]"
19,-0.978493,-0.6366288,-1.0,1.0,-1.0,-0.3837935591839509,0,"[7.483596739812024 172.27432312450807 1303.4118912730166 3669.330992215478
 3586.7014473818 1412.9514091878607 268.1837499219219 169.62422186321763
 395.1587232120017 666.896180129904 748.0949223409328 549.7011989586496
 283.56134978435097 129.6333089016099 85.07827164378466 62.90886373487352
 36.631474851061924 16.307448194663024 5.29127968335127 0.7322093505919212
 0.009253465178326481]"
20,-0.98658,-0.6348597,-1.0,-0.56330216,-1.0,-0.4646211814126558,0,"[0.7951264174740388 25.707022846303857 297.9291820294575
 1491.9897632418367 3314.786672593117 3135.5935005943516
 1319.7818226346963 275.0733767630816 125.2440883533077 208.05376775260754
 290.51668812266536 278.11078801827256 180.1793477226751 88.80653311243528
 48.67468713763797 33.54731101595826 18.872964237058966 11.014265875075651
 5.35706187819898 0.950303586970192 0.012326769770153234]"
21,-0.98748183,-0.7190614,-1.0,-0.7374941,-1.0,-0.4834514323310863,0,"[0.018007422574706746 3.225820741226982 59.492784705385276
 448.37420762780334 1670.7970934527948 3074.6597721601283
 2703.2046849989824 1146.1217999489893 278.9968912841712
 135.17658591734698 199.3267587492451 241.9353101451956 193.42459668999365
 108.26372701896324 55.128157227908254 35.02549660618234
 20.173830398734854 11.328774040423912 5.363060350061172
 0.9503067876940421 0.01232676980706282]"
22,-0.98140997,-0.76945204,-1.0,-0.7898438,-1.0,-0.4964967732850262,0,"[0.00216526355135704 0.4108912490594007 10.69728172196971
 116.1021182521878 635.6003870263814 1846.807036097625 2838.6504899628444
 2246.7398854392873 933.5324415979633 260.66579520739737
 153.03718052603404 193.51662013935749 195.11519249747775
 136.8232371780285 73.09715824900178 39.03882183553586 24.667840455236306
 13.133803034708727 5.398996896476964 0.9503259912569738
 0.01232677002852034]"
23,-0.9728456,-0.7877094,-1.0,-0.6766263,-1.0,-0.5095624213331816,0,"[1.7538180972091773e-06 0.00954344387036997 1.4310393550196734
 25.67795646965689 202.36734828766382 849.3568994143382 1968.215782549414
 2524.5030868551275 1772.4827155495673 714.1510298964669
 236.59200656041622 168.25404076355815 179.8507449249392
 153.99480367855813 97.09490119705588 49.058027738579135
 27.094543570707508 15.798639130936833 6.861417368696791
 1.1900567367312997 0.015409394341691751]"
