t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
0,-1.0,-1.0,-0.9640276,-0.57938194,-0.9640276,0.0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,-1.0,-1.0,-0.89832217,-0.8218612,-0.9486172,-0.025519369573535632,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
2,-1.0,-1.0,-0.9640276,-0.9640276,-0.959631,-0.047049858938737935,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
3,-1.0,-1.0,-0.9504589,-0.7017237,-0.9606308,-0.058062715145574345,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
4,-1.0,-1.0,-0.82086545,-0.9237263,-0.9640276,-0.07991052476224149,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
5,-1.0,-1.0,-0.8495897,-0.85509974,-0.9640276,-0.09738260490706618,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
6,-1.0,-1.0,-0.8600751,-0.8086094,-0.96034503,-0.11645077839498984,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
7,-1.0,-1.0,-0.90099996,-0.8322844,-0.9501337,-0.13769565832415698,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
8,-1.0,-1.0,-0.8644532,-0.8712957,-0.9640276,-0.15839881553603896,0,"[0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0]"
9,-1.0,-1.0,-0.78159124,-0.8452597,-0.94212353,-0.17622461109427512,0,"[5.74355791e+04 2.74484993e+04 6.32182554e+00 4.37347316e-08
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
10,-0.99996907,-1.0,-0.89830047,-0.82175833,-0.94862396,-0.202792641397814,0,"[5545.983336551279 41180.355478941194 32216.19042223375 5850.551467736829
 68.57749540298651 0.03127925094840689 2.7833535373667066e-06
 1.3686726160265111e-11 4.2218838580753156e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0 0.0]"
11,-0.99987924,-0.9961692,-0.9640276,-0.9640276,-0.9595552,-0.22447099587270206,0,"[547.6371566776555 8272.819360788511 32657.108027435494 30500.501106367516
 9473.06637301629 937.6727096243233 14.537003381039202 0.05226886974477418
 8.091936538945355e-06 2.679556576623554e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0 0.0 0.0 0.0]"
12,-0.99620366,-0.9631986,-0.9640276,-0.57521707,-0.9640276,-0.2399714090238407,0,"[57.162900483530755 1326.3920226219175 10038.066364039312
 28183.826049751868 27611.82586733692 10864.913237354533
 1773.6619854253138 107.39345176460823 1.495226358921042
 0.004421165901596913 4.48588150403495e-07 9.539036227579345e-13 0.0 0.0
 0.0 0.0 0.0 0.0 0.0 0.0 0.0]"
13,-0.98574674,-0.9321559,-0.9425092,-0.20748353,-0.9640276,-0.4332513165617184,0,"[6.314278909025284 197.7408279632761 2295.518783449229 11545.492438170793
 25633.02546935112 24485.60802141054 10609.507676372585 2117.0869139381753
 190.28198406248447 6.3758354641127415 0.020616074004022655
 1.7019899127834748e-06 2.9025670755800093e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0
 0.0]"
14,-0.94975054,-0.9026471,0.79963255,0.80530286,-0.9164304,-0.7378385958609839,0,"[0.7177619183976679 29.08775723614807 460.0278253422708 3464.149533174283
 12928.653294094367 23630.1996097679 20603.82917219144 8451.356531922795
 1690.9654578362138 169.76730950289158 8.097075460463396
 0.1454554674193287 0.00030071036827827857 1.603846666586861e-08
 1.765254609153999e-14 0.0 0.0 0.0 0.0 0.0 0.0]"
15,-0.90382737,-0.8885453,0.5821378,-0.060575783,-0.93813545,-1.0995969784028978,0,"[0.018756848495228337 3.5133694415152172 85.68259269502364
 893.8582067805364 4750.17080710613 12636.11234468605 15293.198159332327
 7281.129972556015 1521.326532496632 197.90879886760055 24.80983990519963
 2.2011728862157263 0.06931674528749932 0.00012687271545719359
 5.453569151825377e-09 4.884981308350689e-15 0.0 0.0 0.0 0.0 0.0]"
16,-0.91432565,-0.87942666,-0.6961595,-0.48050147,-0.9082725,-1.2529769464254867,0,"[0.0021701354753645833 0.4374437671414247 14.860689482528857
 210.29477783188256 1507.8625627011766 5468.067479107778 9163.578060723918
 6277.717950693326 1829.1815901705204 317.81703653675686 46.20650538785742
 4.8017230009847935 0.17169303056963936 0.0003170962569055691
 1.3633828732650954e-08 1.2212453270876722e-14 0.0 0.0 0.0 0.0 0.0]"
17,-0.91875273,-0.85309166,-0.81954813,-0.4957248,-0.95397496,-1.3347659047572231,0,"[2.5333581286141517e-06 0.013798524593707041 2.126586411685174
 44.76284040044773 436.3543854496163 2182.770230288415 5414.803411630286
 6304.208689169478 3231.1450706929163 789.808907651565 124.2922439587941
 16.056498770477173 1.60454317804095 0.05271183668533086
 7.950088430386248e-05 2.7471227515007968e-09 1.9984014443252818e-15 0.0
 0.0 0.0 0.0]"
18,-0.92281926,-0.8277801,-0.80147266,-0.8322217,-0.9513276,-1.3912751478451983,0,"[4.47099446e+03 2.13669106e+03 4.92113902e-01 1.60000000e+01
 1.80000000e+02 1.17200000e+03 3.42400000e+03 4.37200000e+03
 2.39300000e+03 6.08000000e+02 9.70000000e+01 1.40000000e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
19,-0.92211634,-0.8247347,-0.8867419,-0.7905745,-0.94621116,-1.420799076695205,0,"[431.7270118756261 3205.6801766667472 2507.868729730755 458.4937665965459
 54.90650104001828 394.00926329659694 1589.2839192755391
 3103.4162904711625 2926.837543831318 1375.3526134767296 346.6775406824058
 57.28218029247491 6.274034512999748 0.21059330728318038
 0.0003179926297535163 1.098848123604057e-08 7.993605777301127e-15 0.0 0.0
 0.0 0.0]"
20,-0.9197462,-0.78373843,-0.9640276,-0.9640276,-0.937817,-1.4480146551798783,0,"[42.5563874203437 644.1739890162746 2548.6914946408397 2388.744854596408
 752.1628066026143 197.91862835413727 637.425621943894 1687.9976096854903
 2307.1680562213537 1653.543522265239 678.9784772045622 167.03543134131883
 28.375919164463248 1.9836442696460979 0.041039078778673854
 4.9260561438058126e-05 1.3666104914378252e-09 6.661338147750939e-16 0.0
 0.0 0.0]"
21,-0.83776677,-0.73701304,-0.9640276,0.5430652,-0.9640276,-1.4661275124283608,0,"[4.486854731189638 102.82562387451408 778.7505852191209 2199.894400276941
 2155.372006660064 883.6092601314406 380.35870359936723 845.3682449186483
 1529.7530957918086 1521.4321920699294 890.7705487010551 315.0708177010315
 71.01792546548799 9.557742028733967 0.6964247055409348
 0.015231060685100162 1.5059948756390718e-05 3.3567726376304563e-10
 1.1102230246251565e-16 0.0 0.0]"
22,-0.97539747,-0.7336676,-0.8830173,-0.7693986,-0.9640276,-1.5372116547579988,0,"[0.35989022439537005 14.350396757742683 176.84553214327943
 893.922897765739 1988.1206203212553 1894.0838229320925 852.9163302904902
 400.70847368709923 534.9275593463267 670.9018745699168 540.0791058600348
 277.23764643863825 90.4105538683779 17.1251127764268 0.9931099773602959
 0.015600130987657335 1.50701980557999e-05 3.3568225976665644e-10
 1.1102230246251565e-16 0.0 0.0]"
23,-0.9721206,-0.72527426,-0.88462275,-0.8138795,-0.9640276,-1.5590734564928934,0,"[0.008650725748557572 1.5872782314000744 33.983560252172644
 270.0792378351456 1001.2389517016345 1836.502164833436 1632.2398856638417
 769.2800319840356 391.6454258531951 428.6952029019566 440.5074506401628
 311.7581192280463 135.9888031535953 33.96057929285902 4.404115260480126
 0.12042071899186935 0.00012043995892141446 2.6853987922237366e-09
 8.881784197001252e-16 0.0 0.0]"
24,-0.96993315,-0.7299736,-0.93151516,-0.85058755,-0.96348464,-1.5791269909244992,0,"[0.0007240928915515656 0.1496780326183523 5.428543395341968
 67.17444020988822 379.44509007064613 1100.8202649350283 1678.964512281779
 1318.6952830654425 600.6457214485488 320.95052322702054
 316.16431627799443 284.45371212148234 163.15185390884875 56.2760586085313
 11.589371984688256 1.0673374109146094 0.022550624836722433
 1.8196438635653678e-05 3.256960257047581e-10 2.220446049250313e-16 0.0]"
25,-0.9646768,-0.7373313,-0.95137143,-0.85771185,-0.96107674,-1.5960015197204973,0,"[9.743475287551608e-07 0.005302772294416682 0.7987874324060338
 14.721453345797991 118.59617626124127 503.8635094360839
 1156.5580077314803 1439.5804784812333 991.7202297791114
 436.27452563705765 251.73292391351822 233.3851394391906
 172.93902496762163 81.68998293330857 23.84843923690486 3.8626854696960877
 0.4150565364832923 0.008270222444521691 5.4296970913858544e-06
 7.801770340876146e-11 0.0]"
26,-0.9563754,-0.73465693,-0.9640276,-0.8159075,-0.9640276,-1.6122250522502535,0,"[2.3719019618661498e-11 4.919887761983692e-06 0.02156160203761589
 2.5942277285032884 34.02288529087778 196.24476724322264 622.2605151535258
 1107.3279239935039 1104.114697835335 648.9003554663747 296.5859009091082
 190.4925222199823 155.04946636876983 95.48672782828612 38.47976065291765
 8.538955503854808 0.8631487018259145 0.016567721924105716
 1.0859882720981595e-05 1.5603573988443031e-10 0.0]"
27,-0.96011,-0.7136204,-0.9640276,-0.6309714,-0.9640276,-1.62888641295298,0,"[8.00462743e+03 3.82541648e+03 8.81054198e-01 6.09518068e-09
 1.50000000e+01 1.08000000e+02 3.80000000e+02 7.93000000e+02
 8.12000000e+02 5.06000000e+02 2.39000000e+02 1.65000000e+02
 1.30000000e+02 8.30000000e+01 3.30000000e+01 7.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]"
28,-0.9770508,-0.69927675,-0.951297,-0.70764744,-0.9469762,-1.6526317670297084,0,"[772.9407665106668 5739.276951493305 4489.908809067831 815.4077824887187
 12.82983921029007 35.67179965091158 167.51705850317148 437.2253639424719
 649.6881691455178 547.5806081642589 294.5209149655461 150.15113354548512
 106.08821691249307 70.15428015369822 36.63233203773282 11.83294808026743
 1.6028937690665837 0.03303537736623119 2.171797411842924e-05
 3.1207025852353354e-10 0.0]"
29,-0.9749289,-0.6798849,-0.9640276,-0.6466487,-0.9640276,-1.6771502275673404,0,"[76.55208368045112 1154.4096214335254 4550.780682950743 4247.687574512286
 1316.0017762977488 139.8053225037837 62.903519567439425 201.5936372163892
 380.683622381484 419.78092071471843 295.2942298918592 149.82401819872535
 76.13847867965956 53.57065571240864 32.79742112920964 13.221392066204059
 3.228930145490381 0.3557409864536536 0.006025618230619867
 3.2011139371457276e-06 3.6909586498268254e-11]"
