algorithm,obs_type,mean_rew,var_rew
ppo,count,-7.839711706578889,0.2474670107062592
ppo,count-biomass-time,-7.655120261259756,1.3796998098558986
ppo,count-time,-8.556171322742301,2.4808434369868144
ppo,size-time,-8.194556980313786,0.37290349877046663
td3,count,-12.406704798521794,36.575768618240964
td3,count-biomass-time,-7.920902966042583,0.3529930919395463
td3,count-time,-16.177410310450387,32.51393426306258
td3,size-time,-13.221938102613464,28.103820595530877
tqc,count,-9.512286112168896,8.001037875657632
tqc,count-biomass-time,-7.533753390334979,0.02863750906778602
tqc,count-time,-9.589674629260909,0.5284386507450274
tqc,size-time,-9.059436984429755,1.349585748190905
