"","growth_k","growth_xinf","growth_sd","growth_A","growth_ds","mort_alpha","mort_beta","trapm_pmax","trapm_sigma","trapm_xmax","trapf_pmax","trapf_k","trapf_midpoint","init_mean_recruit","init_sd_recruit","init_mean_adult","init_sd_adult"
"1",1.31268019550084,78.6070666111667,3.15911354051073,1.53802029047839,0.243285542562335,14.6895291879397,0.00272249948240272,0.000398723292601089,6.32959626272247,45.4201567070464,0.000172495951034343,0.648064425249592,30.9008263475828,6.69431024141442,5.87115479283002,3.83551153800185,0.202545562146944
"2",1.23164891211619,80.2412165636591,2.90245857298267,1.75374367950667,0.208690369096059,5.67033376033077,0.00133452607975981,0.000291071027316703,6.53895179426098,45.4311576269804,0.000178498527857938,0.477475982027278,36.0191425630167,11.0929805198447,3.68526699549115,3.72462421827411,0.23836402158566
"3",1.18675886116504,81.6350141851037,2.76942002514111,1.59967400859824,0.234442739741113,5.10703751789749,0.00256280899729387,0.000300998385807288,6.78581613829863,46.3925285599539,0.000185282784676219,0.299305459298888,37.5048113519368,11.0885522628622,6.09360762015568,3.76576429023294,0.225964958213865
"4",1.14472075707965,82.058128902634,2.85844274065923,1.73318279319155,0.237141664743604,1.28040441387062,0.00111711862396139,0.0003148781874411,6.67899655734894,46.040612480127,0.000198662671499703,0.330874034327634,36.0950321740585,11.0035190688781,5.26769158857069,3.79579333156589,0.207344564370802
"5",1.27128022675822,81.0386948713378,2.78420023506695,1.47378944159684,0.238671633807848,12.4137918982667,0.00555724865769252,0.000385342104839529,6.00878695369996,45.7691786545741,0.000181547625211396,0.419268031098425,34.7354214356751,8.60317882521149,5.29166814893027,3.75777105619105,0.234092466127387
"6",1.10791293019932,81.05479652182,2.77008313961666,1.33948050481411,0.275883941232347,11.1044593680609,0.000750144475926628,0.000358587253636871,7.05819740893028,44.5561309607247,0.000199490106828159,0.606283231241487,34.4436289803649,14.3587140020655,3.24372265220279,3.86250280811207,0.184144039940225
"7",1.13147118256545,82.0666004642413,2.52532985653622,1.62486245889798,0.219849495265246,10.2308045248686,0.000526917069168568,0.000405317621373445,6.22988945778943,44.7740245328863,0.000185165031054909,0.464950747951034,36.5503546789031,12.911700827105,5.57284578431329,3.72862268332076,0.244389587465882
"8",1.19682597659939,81.8950359529904,2.40772809752972,1.51036941244214,0.261954598010716,0.229880121754028,0.000465660786401309,0.000424202989195039,6.60432797940714,45.5301353645572,0.000178050164531642,0.350231062547907,35.1273762554562,10.9915129629987,7.1608919903308,3.79187254696847,0.225454044220197
"9",1.29400213233861,79.467992026838,2.99727367559897,1.67098997410105,0.220886184958545,16.7055612494878,0.00112004236418147,0.000334351554465107,6.59300751566584,45.460840695667,0.000175226682950464,0.436678760007499,36.0901932155481,7.88801657022743,6.16188092308585,3.76548534556829,0.222403718681196
"10",1.20127993752757,80.523733726639,2.83631890662856,1.41540732180827,0.234852139935133,12.3166517766345,0.00349951373818263,0.00047183095035805,5.96875676029603,45.3577604744431,0.000167422625972775,0.687079329125959,33.8241989391042,12.6925262989532,5.08629934306379,3.80986865771923,0.202368743773346
"11",1.21363694007319,80.2620497068042,2.91373806334763,1.51386808593812,0.250966918372807,3.81816438899135,0.00145263031345159,0.000651066638082226,5.99624537311714,44.09995879307,0.000209483415222939,1.00683292954156,32.8373679343162,12.3971523970306,4.2624661407644,3.82080036274455,0.200737052992604
"12",1.34414523357534,79.3985017914509,3.02911201950489,1.7316392775045,0.253483821001444,23.7016839866779,0.000725324305460836,0.000376002202848554,6.62910495474852,45.6761788876032,0.000166993295580517,0.7454154523203,33.780594445224,4.46371978241851,5.61153077355568,3.77042179745084,0.220446452519143
"13",1.23661331700508,79.5910419872502,2.97871872026796,1.62207883543628,0.283866094337819,0.515237288677234,0.000665802133553721,0.000398377342181399,6.43147896815334,44.7314149571086,0.000159740771459039,0.506717093647865,34.1958229796327,6.86181397739483,5.3705391380699,3.85899191479989,0.181814834826684
"14",1.1056268009275,81.8003279704967,2.56898369146992,1.72743447734645,0.204092917093731,20.1567334953112,0.00186078659052847,0.000273091008251866,6.6990224319972,45.1898418440773,0.000185430872828283,0.347314208544923,39.4587591734603,15.0367112504544,4.11834708119975,3.72442210653092,0.24466638137934
"15",1.29588120513531,79.3699888030308,3.20596198783168,1.75462810157069,0.218632028461769,1.13114726401355,0.00412916180899805,0.000347600002036301,6.08291870800905,46.1591919518126,0.000171287837457639,0.507364821702693,34.9399032527446,7.9688687596006,4.67062892270782,3.74157906128264,0.229001184135246
"16",1.21296801100124,79.9377662198553,2.73835546720833,1.18772298076316,0.259270190081913,1.95149109460849,0.00294305221539019,0.000502134107484525,5.77893302037206,44.4973055981682,0.00016064111394547,0.510578954819832,36.6328138114099,13.7776170532444,5.11545511453565,3.84816734427642,0.193397667700289
"17",1.21637819429465,80.1815148085973,2.90653763769558,1.67347647981559,0.223251005473931,9.26431531462461,0.00201858658147775,0.00041243208244058,6.39085458778968,45.9889710976779,0.00018006612532504,0.931746958905318,33.3319391876166,9.24105721706481,4.15074565535239,3.77962599430965,0.211709255698798
