t,crabs,act0,act1,rew,rep,crab_pop,nonlocal_crab
99,[7489.],1407.2034503295329,420.2571290520589,-8.308720731220255,0,"[1.44393988e+04 6.90059774e+03 2.58931731e+00 1.10000000e+01
 1.81000000e+02 1.03900000e+03 3.18100000e+03 4.38900000e+03
 3.10100000e+03 1.52700000e+03 5.46000000e+02 1.48000000e+02
 4.10000000e+01 2.60000000e+01 2.10000000e+01 1.90000000e+01
 1.10000000e+01 5.00000000e+00 2.00000000e+00 0.00000000e+00
 0.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236]"
99,[967.],1407.2034503295329,420.2571290520589,-6.753486858864014,1,"[5.47278953e+03 2.61544955e+03 6.02379591e-01 4.16729465e-09
 2.10000000e+01 1.35000000e+02 3.89000000e+02 5.51000000e+02
 4.12000000e+02 1.92000000e+02 6.80000000e+01 2.70000000e+01
 2.60000000e+01 2.70000000e+01 2.20000000e+01 1.50000000e+01
 1.10000000e+01 9.00000000e+00 6.00000000e+00 3.00000000e+00
 1.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653]"
99,[972.],1407.2034503295329,420.2571290520589,-8.297079518038537,2,"[6.55475045e+03 3.13251935e+03 7.21468981e-01 1.00000000e+00
 1.90000000e+01 1.25000000e+02 4.00000000e+02 5.41000000e+02
 3.90000000e+02 1.93000000e+02 7.20000000e+01 2.80000000e+01
 2.30000000e+01 3.10000000e+01 2.70000000e+01 1.80000000e+01
 1.80000000e+01 1.30000000e+01 1.40000000e+01 8.00000000e+00
 1.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946]"
99,[918.],1407.2034503295329,420.2571290520589,-6.073581514310526,3,"[6.57143134e+03 3.14049116e+03 7.23305016e-01 2.00000001e+00
 2.20000000e+01 1.31000000e+02 3.52000000e+02 5.16000000e+02
 3.91000000e+02 1.74000000e+02 7.10000000e+01 2.50000000e+01
 2.00000000e+01 2.20000000e+01 2.40000000e+01 1.60000000e+01
 1.00000000e+01 3.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946  8046.08853523  6018.47333561  7098.2070338
  7599.06507349 80493.47873635   721.18148925  4957.82083001
  7665.95538346  4775.37821958  6954.28145817  7500.89822009]"
99,[1046.],1407.2034503295329,420.2571290520589,-5.812958912715908,4,"[6.58391750e+03 3.14645831e+03 7.24679344e-01 5.01337097e-09
 2.20000000e+01 1.27000000e+02 4.32000000e+02 5.84000000e+02
 4.24000000e+02 2.03000000e+02 7.40000000e+01 3.20000000e+01
 2.50000000e+01 2.90000000e+01 2.10000000e+01 1.60000000e+01
 7.00000000e+00 5.00000000e+00 3.00000000e+00 2.00000000e+00
 1.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946  8046.08853523  6018.47333561  7098.2070338
  7599.06507349 80493.47873635   721.18148925  4957.82083001
  7665.95538346  4775.37821958  6954.28145817  7500.89822009
  8733.8082029   6599.49573203  7368.3961306   6229.45528805
  7464.67130751 69263.59337194  2053.90744163  7651.46457037
  6863.15014104  7260.28912177  7218.0857354 ]"
99,[879.],1407.2034503295329,420.2571290520589,-5.593568837295594,5,"[4.88738435e+04 2.33568405e+04 5.37945149e+00 1.00000004e+00
 1.60000000e+01 1.14000000e+02 3.28000000e+02 5.16000000e+02
 3.63000000e+02 1.73000000e+02 5.90000000e+01 2.30000000e+01
 1.90000000e+01 1.90000000e+01 1.30000000e+01 1.10000000e+01
 6.00000000e+00 3.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946  8046.08853523  6018.47333561  7098.2070338
  7599.06507349 80493.47873635   721.18148925  4957.82083001
  7665.95538346  4775.37821958  6954.28145817  7500.89822009
  8733.8082029   6599.49573203  7368.3961306   6229.45528805
  7464.67130751 69263.59337194  2053.90744163  7651.46457037
  6863.15014104  7260.28912177  7218.0857354   7623.01229187
  6496.35386344  8315.17140846 61393.55386381  1944.56363672
  7329.83667858  6084.88260134  6009.23703544  7184.1817761
  6072.85984842 70254.9847853 ]"
99,[1535.],1407.2034503295329,420.2571290520589,-8.06149539179405,6,"[7.36272848e+03 3.51865256e+03 8.10401595e-01 1.00000001e+00
 3.40000000e+01 1.98000000e+02 5.78000000e+02 8.14000000e+02
 5.36000000e+02 2.79000000e+02 1.19000000e+02 1.27000000e+02
 2.01000000e+02 2.28000000e+02 1.88000000e+02 1.05000000e+02
 4.10000000e+01 1.00000000e+01 2.00000000e+00 0.00000000e+00
 0.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946  8046.08853523  6018.47333561  7098.2070338
  7599.06507349 80493.47873635   721.18148925  4957.82083001
  7665.95538346  4775.37821958  6954.28145817  7500.89822009
  8733.8082029   6599.49573203  7368.3961306   6229.45528805
  7464.67130751 69263.59337194  2053.90744163  7651.46457037
  6863.15014104  7260.28912177  7218.0857354   7623.01229187
  6496.35386344  8315.17140846 61393.55386381  1944.56363672
  7329.83667858  6084.88260134  6009.23703544  7184.1817761
  6072.85984842 70254.9847853  83852.70936295   849.04197582
  7769.5509948  64258.25834287  2134.52254568  6270.66200573
  6117.55748489  6424.01867964 77622.26670934 10858.57366145
  7111.67464854]"
99,[974.],1407.2034503295329,420.2571290520589,-6.089707734856329,7,"[6.13492043e+03 2.93188233e+03 6.75259086e-01 2.00000000e+00
 2.20000000e+01 1.48000000e+02 4.22000000e+02 5.71000000e+02
 3.94000000e+02 1.98000000e+02 6.80000000e+01 2.70000000e+01
 2.30000000e+01 2.50000000e+01 1.80000000e+01 1.60000000e+01
 8.00000000e+00 2.00000000e+00 2.00000000e+00 0.00000000e+00
 0.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946  8046.08853523  6018.47333561  7098.2070338
  7599.06507349 80493.47873635   721.18148925  4957.82083001
  7665.95538346  4775.37821958  6954.28145817  7500.89822009
  8733.8082029   6599.49573203  7368.3961306   6229.45528805
  7464.67130751 69263.59337194  2053.90744163  7651.46457037
  6863.15014104  7260.28912177  7218.0857354   7623.01229187
  6496.35386344  8315.17140846 61393.55386381  1944.56363672
  7329.83667858  6084.88260134  6009.23703544  7184.1817761
  6072.85984842 70254.9847853  83852.70936295   849.04197582
  7769.5509948  64258.25834287  2134.52254568  6270.66200573
  6117.55748489  6424.01867964 77622.26670934 10858.57366145
  7111.67464854  7510.48066895  7911.06377924  5603.6589602
 82389.30491436  6210.40783201  5806.02136761  6767.77742394
  8676.47352348  7154.76231238  6962.50003731  6654.72932511]"
99,[483.],1407.2034503295329,420.2571290520589,-7.0522760159776485,8,"[5.18363148e+03 2.47726074e+03 5.70552511e-01 1.00000000e+00
 7.00000000e+00 6.30000000e+01 1.69000000e+02 2.35000000e+02
 1.66000000e+02 8.00000000e+01 6.00000000e+01 1.09000000e+02
 2.16000000e+02 2.39000000e+02 1.91000000e+02 1.01000000e+02
 4.60000000e+01 1.70000000e+01 9.00000000e+00 5.00000000e+00
 1.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946  8046.08853523  6018.47333561  7098.2070338
  7599.06507349 80493.47873635   721.18148925  4957.82083001
  7665.95538346  4775.37821958  6954.28145817  7500.89822009
  8733.8082029   6599.49573203  7368.3961306   6229.45528805
  7464.67130751 69263.59337194  2053.90744163  7651.46457037
  6863.15014104  7260.28912177  7218.0857354   7623.01229187
  6496.35386344  8315.17140846 61393.55386381  1944.56363672
  7329.83667858  6084.88260134  6009.23703544  7184.1817761
  6072.85984842 70254.9847853  83852.70936295   849.04197582
  7769.5509948  64258.25834287  2134.52254568  6270.66200573
  6117.55748489  6424.01867964 77622.26670934 10858.57366145
  7111.67464854  7510.48066895  7911.06377924  5603.6589602
 82389.30491436  6210.40783201  5806.02136761  6767.77742394
  8676.47352348  7154.76231238  6962.50003731  6654.72932511
 10343.38532788  5483.22629446  6920.27026793  6247.38535916
  7372.2809428  69352.42906942 15547.63030914  6492.33096799
 76743.43959268  1020.7798105   5765.09724076]"
99,[998.],1407.2034503295329,420.2571290520589,-4.845248514333447,9,"[5.41347256e+04 2.58710194e+04 5.95850683e+00 2.00000004e+00
 2.60000000e+01 1.33000000e+02 4.10000000e+02 5.76000000e+02
 4.16000000e+02 1.85000000e+02 7.10000000e+01 2.90000000e+01
 2.00000000e+01 2.20000000e+01 2.00000000e+01 1.30000000e+01
 8.00000000e+00 3.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]","[84739.36435938  5761.85610128 77667.50931145  1194.25183752
  7485.71341184  8989.2115609   6488.94156727  7299.81779117
  6903.53380014 70141.36241932 17430.13558236  8870.55954073
  8163.69298507  7039.78445166 69720.00497091  1378.33495878
 56627.14811955 29382.42073352  3581.17986487  6979.26206986
  6842.31540311  5733.18589653 90625.86228797   178.14484953
 67424.95542291 21038.25802522  6059.89131216  6933.95138397
 70123.01608933  1661.11721502  7597.64169925  6561.52088182
  7340.24188946  8046.08853523  6018.47333561  7098.2070338
  7599.06507349 80493.47873635   721.18148925  4957.82083001
  7665.95538346  4775.37821958  6954.28145817  7500.89822009
  8733.8082029   6599.49573203  7368.3961306   6229.45528805
  7464.67130751 69263.59337194  2053.90744163  7651.46457037
  6863.15014104  7260.28912177  7218.0857354   7623.01229187
  6496.35386344  8315.17140846 61393.55386381  1944.56363672
  7329.83667858  6084.88260134  6009.23703544  7184.1817761
  6072.85984842 70254.9847853  83852.70936295   849.04197582
  7769.5509948  64258.25834287  2134.52254568  6270.66200573
  6117.55748489  6424.01867964 77622.26670934 10858.57366145
  7111.67464854  7510.48066895  7911.06377924  5603.6589602
 82389.30491436  6210.40783201  5806.02136761  6767.77742394
  8676.47352348  7154.76231238  6962.50003731  6654.72932511
 10343.38532788  5483.22629446  6920.27026793  6247.38535916
  7372.2809428  69352.42906942 15547.63030914  6492.33096799
 76743.43959268  1020.7798105   5765.09724076 10249.45010955
  7373.77287493  7287.57003429  6204.31151241  5853.32482255
  8340.76029473  6471.73608408  7183.12836033  6742.60677474
  7764.0223441  77747.33618252]"
