,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_n_quantiles,params_net_arch,params_tau,params_top_quantiles_to_drop_per_net,params_train_freq,state
0,0.0,0,-327.0254579484463,2024-06-25 16:11:36.265097,2024-06-25 19:13:08.351329,0 days 03:01:32.086232,64,100000,0.999,0.0011473039478049,10000,-2.291546466963643,43,small,0.005,14,8,COMPLETE
1,1.0,1,-328.390677434206,2024-06-25 19:13:08.351991,2024-06-25 22:31:00.067884,0 days 03:17:51.715893,2048,100000,0.95,4.833737004589258e-05,20000,-1.5589537565338771,22,medium,0.08,3,256,COMPLETE
2,2.0,2,-6528.766702270508,2024-06-25 22:31:00.068541,2024-06-26 01:45:01.517641,0 days 03:14:01.449100,128,1000000,0.99,9.90985564267786e-05,1000,-1.849643221748353,40,small,0.01,20,512,COMPLETE
3,,0,-328.3844766497612,2024-06-27 08:37:49.251898,2024-06-27 11:47:47.896541,0 days 03:09:58.644643,32,1000000,0.95,0.0055039876794824435,0,-2.458130862821307,32,small,0.005,27,4,COMPLETE
4,,1,-324.7669430911541,2024-06-27 11:47:47.897142,2024-06-27 14:47:36.082282,0 days 02:59:48.185140,32,100000,0.9,3.8561438134617256e-05,1000,-1.5301784053997345,18,medium,0.01,16,64,COMPLETE
5,,2,-326.7123353838921,2024-06-27 14:47:36.082947,2024-06-27 18:03:24.705082,0 days 03:15:48.622135,1024,10000,0.95,0.0001932470537376928,0,-2.4450397767870666,17,small,0.005,8,4,COMPLETE
6,,3,-326.73804022669793,2024-06-27 18:03:24.705953,2024-06-27 21:06:20.432035,0 days 03:02:55.726082,512,1000000,0.995,4.5022267414581354e-05,10000,-3.5025373732585545,27,small,0.02,2,64,COMPLETE
