,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
11,11.0,,1,-372.0522238850593,2024-06-20 09:54:39.043634,2024-06-20 09:54:46.387541,0 days 00:00:07.343907,256,1000000,0.9999,0.0348217760211147,small,0.4592541101895735,normal,0.005,64,COMPLETE
12,12.0,,2,-353.6522457361221,2024-06-20 09:54:46.389058,2024-06-20 09:54:54.004481,0 days 00:00:07.615423,128,1000000,0.999,0.034029107427766,small,0.6647483926790417,,0.005,256,COMPLETE
13,13.0,,3,-5489.703466033936,2024-06-20 09:54:54.005892,2024-06-20 09:55:01.089303,0 days 00:00:07.083411,32,1000000,0.999,1.2276079615049426e-05,small,0.0708111849096101,ornstein-uhlenbeck,0.01,32,COMPLETE
14,14.0,,4,-6468.018517684936,2024-06-20 09:55:01.090895,2024-06-20 09:55:08.106785,0 days 00:00:07.015890,256,1000000,0.9,1.3378384786487266e-05,small,0.075358764819145,ornstein-uhlenbeck,0.001,4,COMPLETE
15,15.0,,5,-252.84416724381737,2024-06-20 09:55:08.108772,2024-06-20 09:55:15.904274,0 days 00:00:07.795502,512,10000,0.999,0.0520960637392672,medium,0.8701074778513328,,0.005,256,COMPLETE
16,16.0,,6,-260.4670644938945,2024-06-20 09:55:15.905920,2024-06-20 09:55:23.782509,0 days 00:00:07.876589,512,10000,0.995,0.0023722772218781,medium,0.973260857892627,,0.08,128,COMPLETE
17,17.0,,7,-342.5342814803124,2024-06-20 09:55:23.784132,2024-06-20 09:55:30.821459,0 days 00:00:07.037327,64,100000,0.95,0.0038016482537393,medium,0.991830154126456,,0.05,16,COMPLETE
18,18.0,,8,-353.7020056962967,2024-06-20 09:55:30.823266,2024-06-20 09:55:38.484572,0 days 00:00:07.661306,100,10000,0.98,0.095208474745679,big,0.6996891645393419,,0.02,256,COMPLETE
19,19.0,,9,-454.4841009616852,2024-06-20 09:55:38.486421,2024-06-20 09:55:42.226147,0 days 00:00:03.739726,1024,10000,0.99,0.0002864101849631,medium,0.3937830054848986,,0.005,1,PRUNED
20,,,0,-252.99221368135187,2024-06-25 01:30:52.101014,2024-06-25 03:09:56.298498,0 days 01:39:04.197484,2048,1000000,0.995,0.0004967863065607241,small,0.8075342612774863,ornstein-uhlenbeck,0.05,128,COMPLETE
21,,,1,-252.92397871710128,2024-06-25 03:09:56.299231,2024-06-25 04:36:04.822400,0 days 01:26:08.523169,64,10000,0.9,0.0002213484212264335,big,0.22707811714910775,ornstein-uhlenbeck,0.08,64,COMPLETE
22,,,2,-454.5134883403778,2024-06-25 04:36:04.822909,2024-06-25 06:11:35.270678,0 days 01:35:30.447769,2048,1000000,0.995,0.04593621309875693,medium,0.6037496629250794,normal,0.08,1,COMPLETE
23,,,3,-252.98011932928347,2024-06-25 06:11:35.271178,2024-06-25 07:37:37.374751,0 days 01:26:02.103573,100,10000,0.995,0.0058595257761645215,medium,0.6364721433361233,ornstein-uhlenbeck,0.001,64,COMPLETE
24,,,4,-252.99956407953286,2024-06-25 07:37:37.375272,2024-06-25 09:04:33.114580,0 days 01:26:55.739308,128,1000000,0.995,0.004685132004165168,big,0.9146733405143654,normal,0.05,64,COMPLETE
25,,,5,-339.6619732201099,2024-06-25 09:04:33.115063,2024-06-25 09:47:15.506748,0 days 00:42:42.391685,64,10000,0.9,1.4711788221709818e-05,big,0.07714810258677085,,0.08,32,PRUNED
