t,crabs,months,act0,act1,rew,rep,crab_pop,nonlocal_crab
46,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  5. 24. 76. 90. 58.
 14.  2.  0.  0.]",7,50.0,50.0,-9.73060256577426,0,"[2.13777918e-80 9.34930899e-68 2.47481130e-56 6.96917357e-46
 1.14722431e-36 2.11052553e-28 2.23516529e-21 2.77729801e-15
 2.06338756e-10 1.96175256e-06 1.64651191e-03 2.81562305e-01
 1.43983864e+01 2.87854110e+02 2.31596316e+03 7.71394910e+03
 1.07832957e+04 6.33853007e+03 1.56656022e+03 1.61123325e+02
 6.74810714e+00 1.05902327e-01]","[82197.39584607     0.             0.             0.
     0.             0.        ]"
47,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.
  21.  76. 105.  44.  14.   1.   0.   0.]",8,50.0,50.0,-9.998269232440927,0,"[4.48750353e-66 4.41144941e-56 5.27879340e-47 9.78438716e-39
 2.73091274e-31 1.04455438e-24 5.82645761e-19 5.20002428e-14
 7.68949747e-10 1.97268886e-06 1.14462591e-03 1.93098531e-01
 1.13225457e+01 2.51605436e+02 2.19158953e+03 7.65598007e+03
 1.08739920e+04 6.30373912e+03 1.48231531e+03 1.40099683e+02
 5.21594838e+00 7.26021847e-02]","[82197.39584607     0.             0.             0.
     0.             0.        ]"
48,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
  30.  76. 126.  66.  19.   3.   0.   0.]",9,50.0,50.0,-10.265935899107594,0,"[7.68932213e-55 9.60858895e-47 2.46468780e-39 1.20294903e-32
 1.34067078e-26 3.58761637e-21 2.05221392e-16 2.61166982e-12
 9.04283808e-09 9.18462279e-06 3.00339152e-03 3.53647890e-01
 1.61545101e+01 2.97429758e+02 2.28645789e+03 7.49475493e+03
 1.04664224e+04 6.25467719e+03 1.59159568e+03 1.71141047e+02
 7.73166722e+00 1.42854437e-01]","[82197.39584607     0.             0.             0.
     0.             0.        ]"
49,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4. 26. 72. 89. 67.
 23.  4.  0.  0.]",10,50.0,50.0,-10.533602565774261,0,"[   0    0    0    0    0    0    0    0    0    0    0    3   64  588
 2592 6272 8166 5595 2071  426   45    2]","[82197.39584607     0.             0.             0.
     0.             0.             0.        ]"
50,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  7. 29. 63. 88. 52.
 19.  3.  0.  0.]",4,50.0,50.0,-10.801269232440928,0,"[4.53502478e-113 8.58045241e-094 2.43743803e-076 1.04193426e-060
 6.72367604e-047 6.57996585e-035 9.83376947e-025 2.26998273e-016
 8.25875864e-010 4.93965935e-005 5.60812262e-002 3.35761216e+000
 6.43903983e+001 5.70361443e+002 2.56483092e+003 6.21819010e+003
 8.06838445e+003 5.55332065e+003 2.05234466e+003 4.13541328e+002
 4.37552768e+001 2.17609505e+000]","[82197.39584607     0.             0.             0.
     0.             0.             0.        ]"
51,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  5. 30. 60. 87. 60.
 23.  5.  0.  0.]",5,50.0,50.0,-11.068935899107595,0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.62381135e+00
 4.03200676e+01 4.46948954e+02 2.37072694e+03 6.29648276e+03
 8.36930959e+03 5.55706820e+03 1.85356464e+03 3.12230455e+02
 2.59780917e+01 9.51135163e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.        ]"
52,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  5. 25. 71. 86. 64.
 16.  0.  0.  0.]",6,50.0,50.0,-11.336602565774262,0,"[3.12326053e-121 2.96960723e-101 4.23618418e-083 9.08481929e-067
 2.93718363e-052 1.43726707e-039 1.07076826e-028 1.22589913e-019
 2.19163287e-012 6.31489338e-007 3.22817114e-003 5.60730920e-001
 2.07526037e+001 3.19240110e+002 2.11996335e+003 6.37586593e+003
 8.78278612e+003 5.54218753e+003 1.60912878e+003 2.14563486e+002
 1.27448039e+001 3.04239763e-001]","[82197.39584607     0.             0.             0.
     0.             0.             0.        ]"
53,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 26. 63. 91. 47.
 19.  3.  0.  0.]",7,50.0,50.0,-11.60426923244093,0,"[1.42324086e-80 6.22436536e-68 1.64762238e-56 4.63977547e-46
 7.63773881e-37 1.40510735e-28 1.48816117e-21 1.84938094e-15
 1.37572790e-10 1.31256621e-06 1.12575610e-03 2.03977723e-01
 1.11551968e+01 2.30096398e+02 1.88513416e+03 6.41801869e+03
 9.15870080e+03 5.50057640e+03 1.38524903e+03 1.45359171e+02
 6.22568132e+00 9.93535519e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.        ]"
54,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1. 13. 62. 87. 53.
 25.  1.  0.  0.]",8,50.0,50.0,-11.871935899107596,0,"[2.98759382e-66 2.93697381e-56 3.51447814e-47 6.51446409e-39
 1.81845337e-31 6.95794099e-25 3.88527977e-19 3.47644885e-14
 5.17636789e-10 1.35557502e-06 8.22475769e-04 1.46264664e-01
 8.92596125e+00 2.02971656e+02 1.79738754e+03 6.38779407e+03
 9.23193855e+03 5.43669554e+03 1.29516313e+03 1.24786847e+02
 4.74972328e+00 6.72933829e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.        ]"
55,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2. 21. 62. 79. 58.
 13.  0.  0.  0.]",9,50.0,50.0,-12.139602565774263,0,"[5.11990455e-55 6.39863354e-47 1.64181920e-39 8.01942457e-33
 8.94872745e-27 2.40042543e-21 1.38110047e-16 1.78077188e-12
 6.30870815e-09 6.64852338e-06 2.26945152e-03 2.76496513e-01
 1.28499781e+01 2.40949215e+02 1.88730272e+03 6.27585131e+03
 8.90076609e+03 5.38226166e+03 1.38772467e+03 1.52633412e+02
 7.03109868e+00 1.30549826e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.        ]"
56,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  5. 17. 59. 87. 64.
 12.  2.  0.  0.]",10,50.0,50.0,-12.40726923244093,0,"[   0    0    0    0    0    0    0    0    0    0    0    3   57  470
 2145 5283 6924 4794 1797  378   43    2]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381]"
57,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  4. 19. 58. 92. 46.
 10.  2.  1.  0.]",4,50.0,50.0,-12.674935899107597,0,"[4.53502478e-113 8.58045241e-094 2.43743803e-076 1.04193426e-060
 6.72367604e-047 6.57996585e-035 9.83376945e-025 2.26998245e-016
 8.25871703e-010 4.93868539e-005 5.57040496e-002 3.07707194e+000
 5.39272542e+001 4.64358259e+002 2.13044329e+003 5.22984136e+003
 6.83141357e+003 4.75214899e+003 1.78173620e+003 3.65839983e+002
 4.00498271e+001 2.09013405e+000]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381]"
58,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  3. 14. 43. 66. 59.
 15.  8.  0.  0.]",5,50.0,50.0,-12.942602565774264,0,"[3.15065106e+01 3.35833882e+02 4.80565972e+02 2.91003842e+02
 1.12768090e+02 3.33941075e+01 8.26890097e+00 1.80262154e+00
 3.57278066e-01 6.58636529e-02 3.43673471e-02 1.45323344e+00
 3.39789997e+01 3.68400666e+02 1.97886665e+03 5.30381284e+03
 7.09589586e+03 4.75171319e+03 1.60725307e+03 2.74003603e+02
 2.35055696e+01 8.95353580e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381]"
59,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  4. 25. 48. 50. 50.
 18.  1.  0.  0.]",6,50.0,50.0,-13.21026923244093,0,"[7.20933692e-06 4.18135493e-02 6.47440632e+00 1.21907723e+02
 4.27365003e+02 4.44631716e+02 2.07702316e+02 5.86265002e+01
 1.19860241e+01 1.97387844e+00 2.84600084e-01 5.50124682e-01
 1.79541178e+01 2.65541788e+02 1.77018362e+03 5.38136629e+03
 7.46873866e+03 4.74387657e+03 1.38954730e+03 1.87494956e+02
 1.14194332e+01 2.81469290e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381]"
60,"[ 0.  0.  0.  0.  0.  2.  1.  0.  0.  0.  0.  0.  1.  3. 14. 65. 68. 55.
 13.  3.  0.  0.]",7,50.0,50.0,-13.477935899107598,0,"[3.77140665e-13 2.08952497e-08 1.03898903e-04 5.36872768e-02
 4.50249243e+00 8.14587854e+01 3.60140357e+02 4.89799621e+02
 2.59787343e+02 6.78598557e+01 1.07595524e+01 1.39218798e+00
 9.28837124e+00 1.90463815e+02 1.58020118e+03 5.41515634e+03
 7.78629601e+03 4.69924509e+03 1.19494500e+03 1.26622011e+02
 5.52174441e+00 9.03666182e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381]"
61,"[ 0.  0.  0.  0.  0.  0.  2.  7.  4.  1.  1.  0.  1.  2. 17. 59. 74. 43.
 14.  1.  0.  0.]",8,50.0,50.0,-13.745602565774265,0,"[4.88498580e-18 4.45761145e-13 6.98208229e-09 1.62818790e-05
 7.60541932e-03 8.44260746e-01 2.38467894e+01 1.85005926e+02
 4.57972404e+02 4.10763744e+02 1.51820956e+02 2.65378590e+01
 9.60805804e+00 1.67645201e+02 1.50390867e+03 5.38873200e+03
 7.84370656e+03 4.64764163e+03 1.11863616e+03 1.08523384e+02
 4.17046026e+00 6.01437085e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381]"
62,"[ 0.  0.  0.  0.  0.  0.  0.  2. 12. 15.  3.  0.  0.  0.  9. 60. 77. 64.
 11.  0.  0.  0.]",9,50.0,50.0,-14.013269232440932,0,"[6.57468898e-19 2.77188648e-14 2.30112718e-10 4.73690834e-07
 2.77149591e-04 4.71511848e-02 2.36136135e+00 3.74439546e+01
 2.09119796e+02 4.40382905e+02 3.73012460e+02 1.38213600e+02
 3.44748623e+01 2.03749262e+02 1.58836136e+03 5.29519697e+03
 7.54894367e+03 4.58622653e+03 1.19289107e+03 1.32271306e+02
 6.13361090e+00 1.14985455e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381]"
63,"[ 0.  0.  0.  0.  0.  0.  0.  0.  4. 12.  5.  1.  0.  0. 20. 52. 95. 45.
 11.  3.  0.  0.]",10,50.0,50.0,-14.280935899107599,0,"[   0    0    0    0    0    0    2   17   89  232  309  205  128  395
 1816 4474 5820 4103 1545  313   35    2]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517 ]"
64,"[ 0.  0.  0.  0.  0.  0.  0.  0.  2.  7.  3.  2.  1.  4. 17. 51. 55. 39.
 15.  4.  0.  0.]",4,50.0,50.0,-14.548602565774265,0,"[2.93891451e-41 4.08842746e-30 8.72540637e-21 2.89893028e-13
 1.54132986e-07 1.39663356e-03 2.75594495e-01 4.62321317e+00
 3.39859216e+01 1.32754458e+02 2.70053815e+02 2.84785733e+02
 1.99707272e+02 4.29220019e+02 1.80285265e+03 4.42413289e+03
 5.77972940e+03 4.05531369e+03 1.52068593e+03 3.05165840e+02
 3.33644856e+01 1.89327350e+00]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517 ]"
65,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  2.  8.  5.  1.  7. 19. 48. 66. 32.
 15.  2.  1.  0.]",5,50.0,50.0,-14.816269232440932,0,"[1.00313584e+02 1.06926155e+03 1.53007408e+03 9.26527183e+02
 3.59042342e+02 1.06323514e+02 2.63314384e+01 5.98955028e+00
 5.68159059e+00 3.69711906e+01 1.47301893e+02 2.87328302e+02
 3.02684306e+02 4.34100506e+02 1.68918358e+03 4.47590722e+03
 6.00678144e+03 4.05761450e+03 1.37074146e+03 2.31632135e+02
 1.94239731e+01 7.75985840e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517 ]"
66,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  2.  2.  5.  0.  8.  9. 43. 64. 41.
 12.  0.  0.  0.]",6,50.0,50.0,-15.0839358991076,0,"[2.29538091e-05 1.33130167e-01 2.06138634e+01 3.88142019e+02
 1.36068751e+03 1.41566208e+03 6.61160962e+02 1.85970732e+02
 3.82109962e+01 1.07132669e+01 4.11820290e+01 1.68893300e+02
 3.26197629e+02 4.80766320e+02 1.58719484e+03 4.55392516e+03
 6.31350782e+03 4.04185647e+03 1.18670854e+03 1.59114180e+02
 9.54801494e+00 2.39192180e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517 ]"
67,"[ 0.  0.  0.  0.  0.  0.  2.  2.  3.  0.  0.  1.  2.  6. 21. 54. 53. 49.
 16.  1.  0.  0.]",7,50.0,50.0,-15.351602565774266,0,"[1.20077823e-12 6.65283890e-08 3.30803735e-04 1.70934930e-01
 1.43354867e+01 2.59359426e+02 1.14729188e+03 1.56397684e+03
 8.28348428e+02 2.13381676e+02 3.90913456e+01 6.32415340e+01
 2.27425553e+02 4.93044605e+02 1.53560794e+03 4.62081388e+03
 6.59545251e+03 3.99504518e+03 1.01724933e+03 1.08071783e+02
 4.66641270e+00 7.61906620e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517 ]"
68,"[ 0.  0.  0.  0.  0.  0.  3. 18. 23.  8.  1.  0.  2.  4. 20. 38. 66. 49.
 11.  2.  0.  0.]",8,50.0,50.0,-15.619269232440933,0,"[1.55533071e-17 1.41925898e-12 2.22302530e-08 5.18398773e-05
 2.42148978e-02 2.68806233e+00 7.59549371e+01 5.90547367e+02
 1.46426321e+03 1.30656936e+03 4.76457835e+02 1.03110537e+02
 1.39319274e+02 4.43714723e+02 1.55879073e+03 4.66893149e+03
 6.65473572e+03 3.93997205e+03 9.50937346e+02 9.19965375e+01
 3.52331148e+00 5.07865009e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517 ]"
69,"[ 0.  0.  0.  0.  0.  0.  0.  9. 28. 20.  9.  1.  0.  6. 15. 53. 59. 41.
 17.  0.  0.  0.]",9,50.0,50.0,-15.8869358991076,0,"[2.09331534e-18 8.82540983e-14 7.32655925e-10 1.50818446e-06
 8.82418898e-04 1.50132292e-01 7.51984687e+00 1.19129807e+02
 6.67904184e+02 1.41953101e+03 1.20573356e+03 4.48101722e+02
 1.68663516e+02 4.25040275e+02 1.64683241e+03 4.64009904e+03
 6.43249701e+03 3.89727525e+03 1.00936076e+03 1.11823051e+02
 5.19282676e+00 9.71515298e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517 ]"
70,"[ 0.  0.  0.  0.  0.  0.  0.  3.  9. 22. 21.  6.  3.  2. 20. 48. 66. 32.
 12.  0.  1.  0.]",10,50.0,50.0,-16.154602565774265,0,"[   0    0    0    0    0    0    6   59  302  769  986  694  355  574
 1761 3948 5029 3524 1311  269   29    1]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136]"
71,"[ 0.  0.  0.  0.  0.  0.  0.  0.  8. 24. 17. 12.  2.  6. 20. 43. 63. 25.
 10.  2.  0.  0.]",4,50.0,50.0,-16.422269232440932,0,"[8.81674353e-41 1.22652824e-29 2.61762193e-20 8.69679354e-13
 4.62404724e-07 4.19187772e-03 8.38444524e-01 1.53719086e+01
 1.15700194e+02 4.43441938e+02 8.77915136e+02 9.20304082e+02
 5.92325062e+02 6.36978981e+02 1.77060345e+03 3.92898824e+03
 4.99819734e+03 3.48751732e+03 1.29907745e+03 2.61677780e+02
 2.77959137e+01 1.27026306e+00]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136]"
72,"[ 0.  0.  0.  0.  0.  0.  0.  0.  3. 11. 13. 19.  3.  2. 22. 35. 41. 27.
 17.  5.  0.  0.]",5,50.0,50.0,-16.6899358991076,0,"[8.70904734e+01 9.28313901e+02 1.32838316e+03 8.04394454e+02
 3.11714188e+02 9.23082088e+01 2.28693973e+01 5.78256990e+00
 1.62258862e+01 1.24045640e+02 4.87791752e+02 9.41765076e+02
 9.40552369e+02 8.05356729e+02 1.73390619e+03 4.02124535e+03
 5.22766177e+03 3.49180870e+03 1.16944402e+03 1.96646880e+02
 1.63693276e+01 5.75526254e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136]"
73,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.  2. 13.  6.  7. 25. 45. 56. 28.
 14.  1.  0.  0.]",6,50.0,50.0,-16.957602565774266,0,"[1.99280896e-05 1.15581248e-01 1.78965903e+01 3.36978011e+02
 1.18132474e+03 1.22905348e+03 5.74131954e+02 1.62066549e+02
 3.38181170e+01 2.05787351e+01 1.38982920e+02 5.62759669e+02
 1.04501770e+03 1.11524261e+03 1.78821963e+03 4.14421070e+03
 5.51689661e+03 3.48619390e+03 1.01214622e+03 1.34646181e+02
 7.99888470e+00 1.87388313e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136]"
74,"[ 0.  0.  0.  0.  1.  1.  2.  3.  1.  0.  2.  7.  6. 11. 16. 43. 60. 35.
 14.  0.  0.  0.]",7,50.0,50.0,-17.225269232440933,0,"[1.04249434e-12 5.77587665e-08 2.87197931e-04 1.48402668e-01
 1.24457182e+01 2.25124046e+02 9.95359432e+02 1.35676350e+03
 7.18672516e+02 1.86347326e+02 5.14121912e+01 2.02084640e+02
 7.35965223e+02 1.27972011e+03 1.99608068e+03 4.32241317e+03
 5.78960694e+03 3.45460891e+03 8.70683094e+02 9.19916396e+01
 3.92714066e+00 6.18150700e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136]"
75,"[ 0.  0.  0.  0.  0.  0.  3. 11. 10.  6.  1.  2.  4. 13. 16. 46. 67. 33.
  4.  1.  0.  0.]",8,50.0,50.0,-17.4929358991076,0,"[1.35031052e-17 1.23217546e-12 1.92999110e-08 4.50064510e-05
 2.10228382e-02 2.33359236e+00 6.59244415e+01 5.12366484e+02
 1.27260915e+03 1.14172262e+03 4.21580947e+02 1.41387186e+02
 4.28907197e+02 1.15013887e+03 2.20053737e+03 4.51285530e+03
 5.88965501e+03 3.42379510e+03 8.20758794e+02 7.90175645e+01
 2.99491458e+00 4.22577427e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136]"
76,"[ 0.  0.  0.  0.  0.  0.  0.  8. 29. 23.  8.  3.  8. 12. 14. 50. 56. 34.
  4.  2.  0.  0.]",9,50.0,50.0,-17.760602565774267,0,"[1.81737922e-18 7.66206398e-14 6.36078682e-10 1.30937501e-06
 7.66085426e-04 1.30331800e-01 6.52687157e+00 1.03349987e+02
 5.78938161e+02 1.23046821e+03 1.05060864e+03 4.21125503e+02
 3.53448747e+02 1.00340503e+03 2.30860213e+03 4.60578345e+03
 5.75981060e+03 3.40523298e+03 8.79511490e+02 9.58052352e+01
 4.37454203e+00 8.21498444e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136]"
77,"[ 0.  0.  0.  0.  0.  0.  0.  1.  9. 32. 22.  7.  1.  9. 27. 39. 66. 31.
 15.  0.  0.  0.]",10,50.0,50.0,-18.028269232440934,0,"[   0    0    0    0    0    0    6   58  264  634  852  642  504  959
 2213 3945 4609 3092 1141  227   27    1]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192]"
78,"[ 0.  0.  0.  0.  0.  0.  0.  0. 11. 19. 14.  8.  3. 14. 21. 40. 46. 28.
 16.  0.  0.  0.]",4,50.0,50.0,-18.295935899107594,0,"[8.81674353e-41 1.22652824e-29 2.61762193e-20 8.69679320e-13
 4.62404003e-07 4.19163047e-03 8.36958997e-01 1.50766968e+01
 1.04572535e+02 3.74558574e+02 7.41535905e+02 8.20491903e+02
 6.61306373e+02 9.58629918e+02 2.19557172e+03 3.98861957e+03
 4.62643946e+03 3.08234369e+03 1.12618140e+03 2.24835925e+02
 2.49424507e+01 1.21220194e+00]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192]"
79,"[ 0.  0.  0.  0.  0.  0.  0.  0.  2.  7. 19. 10.  8. 12. 27. 35. 52. 26.
  9.  2.  0.  0.]",5,50.0,50.0,-18.563602565774257,0,"[1.06369525e+02 1.13381297e+03 1.62244480e+03 9.82461715e+02
 3.80717762e+02 1.12742294e+02 2.79291648e+01 6.87521196e+00
 1.56770412e+01 1.10582440e+02 4.14704301e+02 8.05514012e+02
 8.95297341e+02 1.01238530e+03 2.13742179e+03 4.14679966e+03
 4.87654519e+03 3.10824244e+03 1.02229583e+03 1.71396510e+02
 1.45804917e+01 5.34757924e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192]"
80,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  8. 10. 11.  9. 11. 20. 41. 48. 25.
  3.  2.  0.  0.]",6,50.0,50.0,-18.83126923244092,0,"[2.43395326e-05 1.41167247e-01 2.18583242e+01 4.11574189e+02
 1.44283234e+03 1.50112670e+03 7.01226436e+02 1.97940384e+02
 4.11275958e+01 2.02773626e+01 1.17451733e+02 4.73939823e+02
 9.24635622e+02 1.17819543e+03 2.13511562e+03 4.33135120e+03
 5.21124139e+03 3.13348361e+03 8.93506314e+02 1.17513679e+02
 7.07173223e+00 1.70862568e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192]"
81,"[ 0.  0.  0.  0.  0.  3.  3.  3.  1.  0.  1.  4. 13.  8. 24. 44. 56. 44.
 10.  0.  0.  0.]",7,50.0,50.0,-19.098935899107587,0,"[1.27326932e-12 7.05447141e-08 3.50774388e-04 1.81254287e-01
 1.52009212e+01 2.75015667e+02 1.21625169e+03 1.65622011e+03
 8.77209916e+02 2.27741627e+02 5.50966252e+01 1.72819384e+02
 6.35563878e+02 1.22809605e+03 2.22955468e+03 4.52864675e+03
 5.52996656e+03 3.12906059e+03 7.72555262e+02 8.07522577e+01
 3.45740313e+00 5.54497494e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192]"
82,"[ 0.  0.  0.  0.  0.  0.  5. 14. 11.  3.  0.  2.  5.  7. 23. 47. 58. 23.
  5.  3.  0.  0.]",8,50.0,50.0,-19.366602565774254,0,"[1.64922617e-17 1.50493978e-12 2.35722954e-08 5.49694555e-05
 2.56767525e-02 2.85033052e+00 8.05250843e+01 6.25536337e+02
 1.55321130e+03 1.39443806e+03 5.16908967e+02 1.49528189e+02
 3.73203113e+02 1.07590378e+03 2.32667539e+03 4.68854531e+03
 5.68414035e+03 3.14241396e+03 7.31848156e+02 6.86882269e+01
 2.59674929e+00 3.73936839e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192]"
83,"[ 0.  0.  0.  0.  0.  0.  0.  7. 26. 31.  9.  2.  3. 16. 23. 45. 47. 31.
  8.  1.  0.  0.]",9,50.0,50.0,-19.63426923244092,0,"[2.21968898e-18 9.35820064e-14 7.76886431e-10 1.59923363e-06
 9.35689450e-04 1.59191886e-01 7.97377861e+00 1.26533147e+02
 7.10232158e+02 1.50841806e+03 1.28295872e+03 5.03758415e+02
 3.35374258e+02 9.42938928e+02 2.37239514e+03 4.73044291e+03
 5.59922021e+03 3.16026906e+03 7.90062567e+02 8.46023738e+01
 3.82872041e+00 7.15813759e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192]"
84,"[ 0.  0.  0.  0.  0.  0.  0.  4.  9. 30. 37.  9.  5.  9. 24. 53. 57. 34.
  4.  0.  0.  0.]",10,50.0,50.0,-19.90193589910759,0,"[   0    0    0    0    0    0    6   65  308  796 1051  761  523  964
 2271 4011 4477 2927 1063  211   20    0]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899 ]"
85,"[ 0.  0.  0.  0.  0.  0.  0.  2. 10. 15. 25. 12.  3.  9. 26. 44. 62. 43.
  8.  3.  1.  0.]",4,50.0,50.0,-20.169602565774245,0,"[8.81674353e-41 1.22652824e-29 2.61762194e-20 8.69679489e-13
 4.62407607e-07 4.19286620e-03 8.44265587e-01 1.60867199e+01
 1.19615944e+02 4.58280888e+02 9.23949424e+02 9.90806313e+02
 7.36160197e+02 9.79196742e+02 2.24051974e+03 4.02186180e+03
 4.49766309e+03 2.91833743e+03 1.05550837e+03 2.05200799e+02
 1.93750308e+01 5.36613701e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899 ]"
86,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  5. 14. 11.  7. 13. 21. 39. 62. 22.
  6.  1.  1.  0.]",5,50.0,50.0,-20.437269232440904,0,"[3.35749132e+02 3.57881377e+03 5.12115131e+03 3.10108246e+03
 1.20171316e+03 3.55864338e+02 8.81300995e+01 2.00329684e+01
 1.98323917e+01 1.31453749e+02 5.12589578e+02 1.00024157e+03
 1.05932816e+03 1.07994179e+03 2.18251741e+03 4.16155217e+03
 4.74685412e+03 2.95729014e+03 9.59921690e+02 1.55541184e+02
 1.13448012e+01 3.03791886e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899 ]"
87,"[ 0.  0.  0.  0.  0.  0.  0.  1.  1.  2. 10. 20. 16.  9. 20. 34. 54. 25.
  8.  2.  0.  0.]",6,50.0,50.0,-20.704935899107568,0,"[7.68262992e-05 4.45586090e-01 6.89945112e+01 1.29910965e+03
 4.55421518e+03 4.73821790e+03 2.21337978e+03 6.24755174e+02
 1.28049301e+02 3.58714943e+01 1.47274411e+02 5.87587165e+02
 1.12279226e+03 1.32988983e+03 2.20693125e+03 4.34211403e+03
 5.08178852e+03 2.98808315e+03 8.35952270e+02 1.06296307e+02
 5.73594886e+00 1.12855355e-01]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899 ]"
88,"[ 0.  0.  0.  0.  0.  5.  4.  4.  2.  0.  4.  6. 13. 16. 22. 44. 45. 32.
 12.  4.  0.  0.]",7,50.0,50.0,-20.972602565774235,0,"[4.01899951e-12 2.22670229e-07 1.10719867e-03 5.72118467e-01
 4.79808114e+01 8.68072689e+02 3.83948471e+03 5.23185675e+03
 2.77527116e+03 7.21389721e+02 1.35814679e+02 2.19061899e+02
 7.79131548e+02 1.43406668e+03 2.36056189e+03 4.54875543e+03
 5.41398210e+03 3.00037589e+03 7.21992450e+02 7.17968661e+01
 2.87464555e+00 4.10097290e-02]","[82197.39584607     0.             0.             0.
     0.             0.             0.           329.65400381
  1139.0730517    904.47619136  1392.80629192 11072.4963899 ]"
