t,crabs,months,act0,act1,rew,rep,crab_pop,nonlocal_crab
17,"[  0.   0.   0.   0.   0.   0.   0.   0.   6.  60. 174. 286. 186.  81.
  24.   5.   1.   1.   0.   0.   0.   0.]",6,50.0,50.0,-1.9682692324409223,0,"[1.91449007e-73 6.35033995e-58 3.18053703e-44 2.41658573e-32
 2.80553241e-22 5.03532134e-14 1.42685654e-07 6.67573916e-03
 6.00247213e+00 2.53885819e+02 2.64154294e+03 1.09446677e+04
 2.01475145e+04 1.68981857e+04 6.57876023e+03 1.38440594e+03
 3.31389695e+02 1.09522571e+02 2.15830019e+01 1.98385864e+00
 7.29112368e-02 8.52901899e-04]",[82197.39584607     0.        ]
18,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   4.  52. 137. 234. 173.
  67.  10.   6.   0.   0.   0.   0.   0.]",7,50.0,50.0,-2.235935899107589,0,"[1.25554086e-54 2.96090859e-44 6.94839273e-35 1.02745909e-26
 1.60291623e-19 1.55824340e-13 1.70499370e-08 1.25484646e-04
 1.20798545e-01 1.40354499e+01 3.99778351e+02 3.80776707e+03
 1.41383410e+04 2.15974547e+04 1.38914075e+04 3.94048282e+03
 6.67788120e+02 1.31367485e+02 2.10076057e+01 1.55466927e+00
 4.48021759e-02 4.35934204e-04]",[82197.39584607     0.        ]
19,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   4.  49. 154. 208.
 159.  32.   6.   4.   0.   0.   0.   0.]",8,50.0,50.0,-2.5036025657742553,0,"[2.86172074e-48 1.19830156e-39 5.74292196e-32 4.65099913e-25
 5.74744292e-19 9.16485855e-14 2.46671541e-09 1.11540734e-05
 8.84402344e-03 1.58499175e+00 7.84485909e+01 1.29464556e+03
 7.99162180e+03 1.95074132e+04 1.93452244e+04 7.99918632e+03
 1.52938977e+03 1.98824061e+02 2.35784740e+01 1.59790447e+00
 4.37352360e-02 4.30664154e-04]",[82197.39584607     0.        ]
20,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.  11.  83. 199.
 225.  77.  18.   1.   1.   0.   0.   0.]",9,50.0,50.0,-2.771269232440922,0,"[1.81728104e-41 2.26080512e-34 6.06706069e-28 3.56023842e-22
 4.41727064e-17 1.22337962e-12 8.55035036e-09 1.44394851e-05
 6.42397754e-03 8.74950867e-01 4.16736409e+01 7.52566746e+02
 5.40853453e+03 1.61191404e+04 2.04408416e+04 1.13065570e+04
 2.84663070e+03 3.79107138e+02 3.54853099e+01 2.37244764e+00
 8.25522117e-02 1.15387825e-03]",[82197.39584607     0.        ]
21,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   8.  58. 154.
 229. 114.  31.   6.   0.   0.   0.   0.]",10,50.0,50.0,-3.0389358991075883,0,"[    0     0     0     0     0     0     0     0     0     7   110   984
  4652 11728 15710 11416  4577  1053   145    14     0     0]",[82197.39584607     0.             0.        ]
22,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   5.  11.  52. 127.
 166. 118.  47.  17.   0.   0.   0.   0.]",4,50.0,50.0,-3.306602565774255,0,"[1.51936779e-79 1.59063450e-63 2.51189794e-49 6.00883806e-37
 2.19124878e-26 1.23059981e-17 1.08331054e-10 1.54825258e-05
 3.95309255e-02 3.23369839e+00 6.22073167e+01 6.48431516e+02
 3.51939462e+03 1.01020377e+04 1.54253619e+04 1.26975449e+04
 5.71353772e+03 1.43430472e+03 2.09264377e+02 1.87278787e+01
 6.48770674e-01 1.21933137e-03]",[82197.39584607     0.             0.        ]
23,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   6.  29.  88.
 162. 150.  56.   7.   6.   0.   0.   0.]",5,50.0,50.0,-3.5742692324409213,0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.51185471e+01 2.54980878e+02
 2.01294275e+03 7.81322307e+03 1.50902585e+04 1.46840559e+04
 7.29420996e+03 1.87394450e+03 2.52107969e+02 1.86215858e+01
 6.38845985e-01 6.44366054e-03]",[82197.39584607     0.             0.        ]
24,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   4.  26.  77.
 172. 166.  79.  22.   5.   0.   0.   0.]",6,50.0,50.0,-3.841935899107588,0,"[7.62688684e-104 2.36620230e-085 1.10315980e-068 7.74895665e-054
 8.23134714e-041 1.32950474e-029 3.29306563e-020 1.26894289e-012
 7.81704754e-007 8.24779727e-003 2.16841910e+000 7.24118517e+001
 9.34577291e+002 5.35736517e+003 1.38953221e+004 1.65759892e+004
 9.20121301e+003 2.39233968e+003 2.92681356e+002 1.73032812e+001
 4.65050773e-001 4.53202080e-003]",[82197.39584607     0.             0.        ]
25,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   3.  11.  59.
 131. 193.  94.  25.   3.   0.   0.   0.]",7,50.0,50.0,-4.109602565774255,0,"[3.62470903e-71 2.33796450e-59 1.54201166e-48 6.15016450e-39
 2.64584106e-30 6.72342155e-23 1.94082375e-16 3.36285860e-11
 7.11176888e-07 1.13438607e-03 3.02119747e-01 1.80694167e+01
 3.94840502e+02 3.39769388e+03 1.20056083e+04 1.77908244e+04
 1.12174698e+04 3.01784159e+03 3.45588916e+02 1.69463072e+01
 3.47602540e-01 2.67661437e-03]",[82197.39584607     0.             0.        ]
26,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   4.  26.
 143. 173.  99.  30.   2.   1.   0.   0.]",8,50.0,50.0,-4.377269232440922,0,"[1.02080861e-59 2.86510606e-50 1.31371180e-41 9.03472315e-34
 7.94446147e-27 1.08054499e-20 2.28491014e-15 7.28640670e-11
 3.83860157e-07 3.97245500e-04 9.75480354e-02 7.58801802e+00
 2.20127453e+02 2.39305598e+03 1.02522145e+04 1.78440713e+04
 1.27616173e+04 3.75591555e+03 4.52759866e+02 2.17929458e+01
 4.18894463e-01 3.24682682e-03]",[82197.39584607     0.             0.        ]
27,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  31.
  87. 176. 152.  45.   3.   0.   0.   0.]",9,50.0,50.0,-4.644935899107589,0,"[4.34107385e-50 2.49430192e-42 2.83114658e-35 6.91585632e-29
 4.04090466e-23 4.94650872e-18 1.27518500e-13 8.38934191e-10
 1.50453774e-06 7.62645243e-04 1.29372828e-01 8.30721679e+00
 2.09468726e+02 2.14835868e+03 9.27118354e+03 1.69788508e+04
 1.33462906e+04 4.53098846e+03 6.63734649e+02 4.12859025e+01
 1.06157633e+00 1.10904431e-02]",[82197.39584607     0.             0.        ]
28,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   3.  19.
 100. 163. 135.  45.   6.   0.   0.   0.]",10,50.0,50.0,-4.912602565774256,0,"[    0     0     0     0     0     0     0     0     0     0     1    44
   463  2570  7870 13005 11380  5350  1381   190    14     0]",[82197.39584607     0.             0.             0.        ]
29,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   6.  25.
  74. 126. 133.  51.  12.   1.   0.   0.]",4,50.0,50.0,-5.1802692324409225,0,"[3.05872237e-96 1.36012114e-78 9.09865586e-63 9.18471235e-49
 1.40524527e-36 3.28038728e-26 1.18098489e-17 6.68239261e-11
 6.18163690e-06 1.08857149e-02 1.18616025e+00 3.48171561e+01
 3.91506930e+02 2.31135422e+03 7.39638447e+03 1.26980262e+04
 1.15837188e+04 5.67232952e+03 1.50575075e+03 2.14473010e+02
 1.59775692e+01 3.98514638e-01]",[82197.39584607     0.             0.             0.        ]
30,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   5.  16.
  74. 154. 120.  51.  17.   2.   0.   0.]",5,50.0,50.0,-5.4479358991075895,0,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.38632797e-03 1.40772963e+01
 2.26545141e+02 1.73931903e+03 6.66063262e+03 1.27977335e+04
 1.23245288e+04 5.96506826e+03 1.45454454e+03 1.77900834e+02
 1.05834180e+01 2.47509934e-01]",[82197.39584607     0.             0.             0.        ]
31,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  15.
  64. 139. 124.  61.  21.   3.   0.   0.]",6,50.0,50.0,-5.715602565774256,0,"[1.20383614e-107 3.73483952e-089 1.74123946e-072 1.22310378e-057
 1.29924507e-044 2.09851721e-033 5.19873639e-024 2.01351107e-016
 1.42331333e-010 6.75902233e-006 2.79821950e-002 4.19475475e+000
 1.10531069e+002 1.18862517e+003 5.78802334e+003 1.29037223e+004
 1.32231453e+004 6.22959346e+003 1.34459802e+003 1.32198188e+002
 5.79671522e+000 9.91241890e-002]",[82197.39584607     0.             0.             0.        ]
32,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  10.
  67. 121. 137.  46.  21.   2.   0.   0.]",7,50.0,50.0,-5.983269232440923,0,"[5.72140333e-75 3.69080677e-63 2.43535238e-52 9.74759709e-43
 4.24225125e-34 1.18269803e-26 4.34958359e-20 2.12808913e-14
 1.29364469e-09 1.12723068e-05 8.69238049e-03 1.29780618e+00
 5.24243898e+01 7.94346328e+02 4.93573349e+03 1.28390448e+04
 1.40519255e+04 6.48665693e+03 1.24842563e+03 9.95591363e+01
 3.23726116e+00 3.93295563e-02]",[82197.39584607     0.             0.             0.        ]
33,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   7.
  59. 132. 133.  76.  11.   0.   0.   0.]",8,50.0,50.0,-6.25093589910759,0,"[1.63708257e-63 4.77620447e-54 2.37736624e-45 1.98904519e-37
 2.82469970e-30 7.70587791e-24 3.69482849e-18 3.06404945e-13
 4.32237439e-09 1.03380902e-05 5.37844200e-03 7.64994274e-01
 3.59528240e+01 6.33001318e+02 4.42049387e+03 1.24914004e+04
 1.43733230e+04 6.74255924e+03 1.28274724e+03 9.78537449e+01
 2.92393867e+00 3.26493839e-02]",[82197.39584607     0.             0.             0.        ]
34,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   2.   5.
  47. 132. 148.  66.   8.   2.   0.   0.]",9,50.0,50.0,-6.518602565774257,0,"[1.12754031e-53 9.46209724e-46 1.86252769e-38 7.98232591e-32
 8.28378846e-26 2.10732935e-20 1.15903764e-15 1.40724131e-11
 4.57715437e-08 4.22041548e-05 1.18941834e-02 1.12859157e+00
 4.31108903e+01 6.74174313e+02 4.35072926e+03 1.19400076e+04
 1.39926509e+04 7.01336603e+03 1.50217821e+03 1.35515840e+02
 5.08764897e+00 7.80195733e-02]",[82197.39584607     0.             0.             0.        ]
35,"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   9.
  28. 126. 144.  60.  17.   3.   0.   0.]",10,50.0,50.0,-6.786269232440924,0,"[    0     0     0     0     0     0     0     0     0     0     0    11
   154  1106  4461  9559 11061  6715  2224   400    39     2]","[82197.39584607     0.             0.             0.
     0.        ]"
