t,rep,td3Agent_rew,ppoAgent_rew,tqcAgent_rew,recurrentPPOAgent_rew,constantAgent_rew
35,0,-0.7409013666005043,-0.7777037254049881,-1.8016284552229729,-2.0307561548432638,-1.9036407533437585
36,0,-0.7560523127625893,-0.7967496519171989,-1.8205927839685236,-2.0309260087944154,-2.189134793348699
37,0,-0.7897121689659251,-0.8213793699719274,-1.8457435630334411,-2.040690990861177,-2.469241053137362
38,0,-0.8003461398578797,-0.9023740667347088,-1.876694831933404,-2.040941399466326,-2.691465142361128
39,0,-0.818999330314231,-0.9188843803245644,-1.9117502885886684,-2.0622485060685114,-2.757662035769293
40,0,-0.8568274311374601,-0.9323000128264723,-1.9323436322353305,-2.062744955957531,-2.784045700522045
41,0,-0.9067980918586596,-0.9531702425440804,-1.9542709962242568,-2.0712543872813263,-2.8057728657108347
42,0,-0.9134188802341574,-0.9614365775073338,-1.974442364417489,-2.082982359717912,-2.8267170415447027
43,0,-0.9369489517435388,-0.979030089000398,-1.9935281707781805,-2.134640187072377,-2.847474596598353
44,0,-0.943073288649676,-0.9907697448553904,-2.010990072884749,-2.1352793645645223,-2.86816973827082
45,0,-0.9584817991887478,-1.010374613158142,-2.028975507446052,-2.1356425150743648,-2.8888389547471407
46,0,-0.994495782986048,-1.0339029298871716,-2.053747453224444,-2.145691715536535,-2.909504315219248
47,0,-1.0044046298902811,-1.114850792341313,-2.083662767424185,-2.146550387563533,-2.9301681313606203
48,0,-1.0234276236679667,-1.1287155389518109,-2.114775066428757,-2.168380751494311,-2.950853201834579
49,0,-1.0626665318853454,-1.1443350163228605,-2.13558019585033,-2.170190894453639,-2.9715922896020697
50,0,-1.112902131776361,-1.1610416319927646,-2.157550036732793,-2.181379955643607,-2.992433823922281
51,0,-1.1193436803849228,-1.1738935668390775,-2.1777702904778766,-2.1976362308756188,-3.013419800867071
52,0,-1.139188242253972,-1.2013522507467953,-2.196801362026456,-2.254995527468599,-3.0345368444959697
53,0,-1.1459660675100611,-1.219921002330825,-2.214229539493076,-2.2560420014600098,-3.0556574909047094
54,0,-1.1601371493680832,-1.2389082285769002,-2.232236074932767,-2.2565711466786613,-3.076658270864247
55,0,-1.1936394992805006,-1.26190038157441,-2.257014301452588,-2.266839471108385,-3.0975104626633825
56,0,-1.203696456588685,-1.342807877994206,-2.2867636245407112,-2.268201707052605,-3.1186505652954533
57,0,-1.2213948103296204,-1.358352410543571,-2.3182790261122475,-2.2903229550661144,-3.145860294041904
58,0,-1.255827196315056,-1.3731322665721968,-2.3389052000331985,-2.2928865102956286,-3.318284875994148
59,0,-1.306653035440512,-1.3884471437982526,-2.3609353116152603,-2.305657893122667,-3.6019516543312093
60,0,-1.3133379992320624,-1.398134064138982,-2.3812436651034323,-2.3244630822538745,-3.8875090123921705
61,0,-1.3362318131306985,-1.4194235426658195,-2.4008714163741445,-2.3826217178194558,-4.17309191020427
62,0,-1.342842665291069,-1.4320070307818171,-2.4187750218506903,-2.3837746539848066,-4.458674500148337
63,0,-1.3575698265147835,-1.452153224280461,-2.4372969559771573,-2.384353636007968,-4.744234230929721
64,0,-1.3926677597032169,-1.47622490808445,-2.462371424524843,-2.394689216158688,-5.027270596489653
65,0,-1.4011937352493458,-1.557272892343572,-2.492833087543746,-2.396138911782224,-5.273518651732067
66,0,-1.4195440662510188,-1.572382121648266,-2.528208784421191,-2.418307626009134,-5.358657647941191
67,0,-1.4574273510009377,-1.5888727954825816,-2.548869979723147,-2.420911687588298,-5.387197465767522
68,0,-1.50741754564068,-1.607433461826331,-2.570918060807471,-2.433574079288919,-5.409053696542049
69,0,-1.5135890580698987,-1.6152953540491064,-2.5912782062262854,-2.4516499701091847,-5.430038246212637
70,0,-1.5349683186701495,-1.6319656001999492,-2.6107057803682534,-2.510104254786144,-5.450807306223135
71,0,-1.5397295109455569,-1.643563124137276,-2.628629600719428,-2.5110107163858424,-5.471501804702457
72,0,-1.552902274904365,-1.6642932718834726,-2.647063003187714,-2.5115254159312355,-5.492173031858664
73,0,-1.5878821374508632,-1.6880041741892398,-2.672108332441776,-2.522492376204416,-5.512840658704019
74,0,-1.5961034745121303,-1.7689956687468942,-2.702014454435838,-2.542434887781908,-5.533506513961429
75,0,-1.6165699780916143,-1.7843511949797852,-2.7374555785742163,-2.724471823580577,-5.554195831271709
76,0,-1.6663836931618707,-1.798094777123785,-2.7581034174953585,-2.9878184428707355,-5.574947364483377
77,0,-1.8005638750592414,-1.8152361944792903,-2.780134061425979,-3.2604571460888025,-5.595822019234215
78,0,-2.0562263969122863,-1.828611037128781,-2.8005445386691297,-3.536964042226049,-5.616893524162538
79,0,-2.322248217146464,-1.859257484204308,-2.820117384982752,-3.826138507932313,-5.638126305061122
80,0,-2.4590251443867275,-1.873455086198196,-2.8379673878715423,-3.915257149374179,-5.659357870318106
81,0,-2.5477074371448936,-1.89499142560011,-2.8563679197123526,-3.996267307783981,-5.680424731966993
82,0,-2.590560106119745,-1.9203705556714088,-2.8814344887828884,-4.011218767766805,-5.701321446093056
83,0,-2.609255057480216,-2.00153560833112,-2.9116872372471594,-4.021759324804198,-5.722448958809065
84,0,-2.631368815149948,-2.017509122836008,-2.943489079018975,-4.046310466838095,-5.747038441976091
85,0,-2.6689345672062026,-2.034455971217746,-2.964246065857613,-4.052913435659597,-5.848093111761261
86,0,-2.7359013651953394,-2.0530715750776043,-2.9861982700475136,-4.068916471853444,-6.122391726431145
87,0,-2.9493930615603854,-2.065405551067793,-3.006351582231412,-4.087154783562367,-6.407648126367355
88,0,-3.105792165758524,-2.100274530419376,-3.025029777006805,-4.142930835689993,-6.693193636108624
89,0,-3.2059233677512493,-2.119870174752722,-3.0424343681864485,-4.143194146466039,-6.978739014529059
90,0,-3.2602215883995376,-2.139551931349696,-3.060286456305704,-4.143403042714961,-7.264026225442216
91,0,-3.300585225463055,-2.163681878882034,-3.085036518307892,-4.153221586766748,-7.534064352351496
92,0,-3.3234382218857106,-2.244705738109984,-3.114121264423173,-4.153583164016298,-7.705436615746955
93,0,-3.3383941473291623,-2.257897854297126,-3.145113389397292,-4.175003789264484,-7.751582423466612
94,0,-3.365733037361655,-2.2719866757977405,-3.165832664277936,-4.175792947903435,-7.77589893109709
95,0,-3.3959340676493888,-2.288686995389155,-3.1877590726004845,-4.18490346606825,-7.797315348267041
96,0,-3.4039884794664097,-2.3007900657960287,-3.207842725004073,-4.197847309156944,-7.818202404827673
97,0,-3.42523437717678,-2.32742773766951,-3.22716646758934,-4.252005732343006,-7.83894147717541
98,0,-3.428292182197189,-2.341149385842364,-3.2446482836375465,-4.252842194403586,-7.859630335594805
99,0,-3.443491622774755,-2.3623958138634635,-3.262873426458278,-4.253293358581659,-7.880296981844265
0,1,0.0,0.0,0.0,0.0,0.0
1,1,-6.126776689500633e-05,-0.0219830636295285,-0.0258271187834714,-0.0025789361611807,-0.0206629930616504
2,1,-0.0002112105559152,-0.0462928782923792,-0.060582081505113,-0.0283720844601119,-0.0413418068753792
3,1,-0.0394431967701776,-0.0821818295929528,-0.081344098910756,-0.0302729927626738,-0.0620609861184198
4,1,-0.0947233895045205,-0.1132194235191772,-0.10316808659883,-0.0417286331929436,-0.0828528824596808
5,1,-0.1304149122330651,-0.1343039712505046,-0.1230669767545326,-0.0583720102967194,-0.1037490269780627
6,1,-0.1574413801952726,-0.177194534008984,-0.1418366757974691,-0.1174490441309774,-0.1247287860609702
7,1,-0.245478803446685,-0.1943185834812262,-0.1590211385512049,-0.1185028482542975,-0.1457114681806512
8,1,-0.2455590803268918,-0.2317412890067258,-0.1766307447686773,-0.1190247614039816,-0.1666155799641036
9,1,-0.2456203480937868,-0.2527992844799858,-0.2012170724527235,-0.1292937438094135,-0.1874109764112674
10,1,-0.2456822471809457,-0.3337720030383974,-0.2309594754770755,-0.1306208745778622,-0.2081816766827292
11,1,-0.2458416364234029,-0.3458369639045912,-0.2618829518752971,-0.1527203043031773,-0.228976573220253
12,1,-0.2851141277672709,-0.359510931863563,-0.2828191395121281,-0.1551869691409725,-0.2498550933723064
13,1,-0.3592806747027779,-0.37851375576567,-0.3048143690299228,-0.1675032835295373,-0.270922837239551
14,1,-0.4065197360126327,-0.3894928710760003,-0.3250127466335295,-0.1852837629440201,-0.2923072920549753
15,1,-0.4076653367052851,-0.4138783310213828,-0.3444192202970446,-0.2435301139858522,-0.3139669853326755
16,1,-0.4690523397498337,-0.4270147677159808,-0.3624219502423023,-0.2445389866010041,-0.3355715144412541
17,1,-0.4729963083971591,-0.4473555831627054,-0.3808907566428141,-0.2450613291011912,-0.3568679706788603
18,1,-0.4944899112741009,-0.4717757545595696,-0.4059740538260133,-0.2553114716899772,-0.3778463801839518
19,1,-0.4974860154873922,-0.5527729630969973,-0.4362719819527291,-0.2566485212242249,-0.398728155253494
20,1,-0.5106866477320761,-0.5669041006169802,-0.4719338109295452,-0.2787214212582596,-0.4196020756688206
21,1,-0.5472272325271528,-0.5838012675494022,-0.4926560449251663,-0.2812414439916791,-0.4405400822969255
