act0,CPUE,biomass,month,action,cluster,act1
-0.9640276,-0.98180926,-0.8791186,8,act0,0,
-0.9132336,-0.981059,-0.6959201,8,act0,0,
-0.918988,-0.9758109,-0.7392961,8,act0,0,
-0.91535515,-0.98771584,-0.52625525,8,act0,0,
-0.916157,-0.98957837,-0.53600824,8,act0,0,
-0.91786647,-0.9900101,-0.57175356,8,act0,0,
-0.91592246,-0.9889165,-0.53515476,8,act0,0,
-0.9171077,-0.99085844,-0.5583234,8,act0,0,
-0.9169045,-0.9908126,-0.5541985,8,act0,0,
-0.90978146,-0.97943485,-0.7401862,8,act0,0,
-0.9063565,-0.976433,-0.730771,8,act0,0,
-0.91552895,-0.9878997,-0.5321664,8,act0,0,
-0.9167325,-0.99035454,-0.5530141,8,act0,0,
-0.91661435,-0.995071,-0.68526345,8,act0,0,
-0.9640276,-0.96829236,-0.8621434,8,act0,0,
-0.91557366,-0.9903471,-0.68335897,8,act0,0,
-0.9640276,-0.96975785,-0.8224253,8,act0,0,
-0.9640276,-0.96290374,-0.8820301,8,act0,0,
-0.9161955,-0.992247,-0.68017644,8,act0,0,
-0.91647184,-0.9894669,-0.6616552,8,act0,0,
-0.91727823,-0.98915815,-0.6442847,8,act0,0,
-0.91718197,-0.9891041,-0.6459385,8,act0,0,
-0.9640276,-0.9595666,-0.8589926,8,act0,0,
-0.9111945,-0.9902752,-0.7062867,8,act0,0,
-0.9640276,-0.96778876,-0.83385456,8,act0,0,
-0.9640276,-0.96392584,-0.88478327,8,act0,0,
-0.8799473,-0.99068946,-0.74352,8,act0,0,
-0.9640276,-0.988236,-0.8512248,8,act0,0,
-0.9640276,-0.96562076,-0.8289462,8,act0,0,
-0.9170396,-0.9876017,-0.6416756,8,act0,0,
-0.91764337,-0.98874724,-0.63481605,8,act0,0,
-0.91844845,-0.9889373,-0.61671567,8,act0,0,
-0.9171269,-0.9887127,-0.64518434,8,act0,0,
-0.9180389,-0.9887039,-0.6250885,8,act0,0,
-0.91822267,-0.9887894,-0.62121624,8,act0,0,
-0.91638106,-0.988994,-0.661209,8,act0,0,
-0.91714025,-0.987308,-0.6377482,8,act0,0,
-0.9640276,-0.9594997,-0.8319541,8,act0,0,
-0.91801363,-0.987738,-0.61963224,8,act0,0,
-0.91861194,-0.989276,-0.6078381,8,act0,0,
-0.91651016,-0.9892815,-0.66002893,8,act0,0,
-0.9640276,-0.99658996,-0.88621455,8,act0,0,
-0.9156035,-0.991172,-0.69815946,8,act0,0,
-0.9182407,-0.98942137,-0.62474966,8,act0,0,
-0.9179012,-0.98889333,-0.629574,8,act0,0,
-0.9183441,-0.98814046,-0.6142271,8,act0,0,
-0.9180361,-0.98856145,-0.6242607,8,act0,0,
-0.91853565,-0.9895465,-0.60211533,8,act0,0,
-0.9182549,-0.9890467,-0.622057,8,act0,0,
-0.9640276,-0.9688184,-0.8234022,8,act0,0,
-0.9177394,-0.986862,-0.620692,8,act0,0,
-0.91829795,-0.98832524,-0.60563016,8,act0,0,
-0.91837746,-0.9889252,-0.60247153,8,act0,0,
-0.9185409,-0.9888101,-0.6136912,8,act0,0,
