t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop,nonlocal_crab
12,-0.99442965,-0.61090875,-1.0,-1.0,-0.8970740572523334,-0.4766078161867947,0,"[0.45971407297351874 15.677186661614611 191.63112791983906
 987.787540965329 2208.869092707458 2108.7834602165276 926.4995304347328
 189.55286561637158 16.301245232264485 1.244146723001899 2.033796180143397
 2.579319024330804 2.6843877598595203 3.259407127353196 3.5227523903686913
 2.389415846336044 0.7066190896217678 0.016440376393004885
 1.0857602858571624e-05 1.5603418557219584e-10 0.0]",[6907.15466297]
13,-0.9884707,-0.8346907,-1.0,-1.0,-0.8970740572523334,-0.4974059677703548,0,"[0.008652284694776993 1.5957606276691854 35.25249411958777
 291.8764970654429 1112.3816906868844 2059.6750832627936
 1857.1888032820252 828.1209978414096 171.01917693177006
 16.319247776845465 1.013598258310042 0.993056927706006 0.5292553318866386
 0.11249564797397928 1.2477867278892785 1.9535181757940179
 0.6954416327055369 0.01643128035557262 1.0857440011280417e-05
 1.5603407454989338e-10 0.0]",[6907.15466297]
14,-0.96618927,-0.8458384,-1.0,-1.0,-0.8970740572523334,-0.5183115191639616,0,"[6.625325327556726e-06 0.03600951135128058 5.215388623502912
 73.61769571923196 422.1498224310009 1238.7029946267664 1913.4446963934986
 1539.8785827466359 619.3423150720836 119.35277969360457
 11.333209732065109 0.8922759554682842 0.03415945708313317
 6.340963004103362e-05 2.726755155002536e-09 2.4424906541753444e-15 0.0
 0.0 0.0 0.0 0.0]",[6907.15466297]
15,-0.9275855,-0.81687135,-1.0,-1.0,-0.8970740572523334,-0.5393000216595627,0,"[7.795112296082751e-07 0.004249105482683257 0.6691836405578943
 15.294094991710999 131.2596942245635 562.3524131108144 1317.509125523015
 1671.083450322511 1095.878816696962 341.5918157937825 55.503139408339074
 5.647883476309639 0.2057524095349924 0.00038050054100724484
 1.636057800347146e-08 1.4654943925052066e-14 0.0 0.0 0.0 0.0 0.0]",[6907.15466297]
16,-0.89636564,-0.7931223,-1.0,-1.0,-0.8970740572523334,-0.5602887049975698,0,"[2.2024812612402686e-11 4.5685400636629885e-06 0.02003360354132948
 2.4516992258534263 35.69322057219247 218.39671435370667 707.5639858691773
 1270.4122385443475 1216.4196604752478 589.2512345732831
 159.62677002860988 24.644769234440986 2.4404185576153985
 0.07913113524823634 0.00011925405317858573 4.120686569741849e-09
 2.9976021664879227e-15 0.0 0.0 0.0 0.0]",[6907.15466297]
17,-0.8752501,-0.7677666,-1.0,-1.0,-0.8970740572523334,-0.5811905493319134,0,"[4.95982280e+04 2.37030243e+04 5.45918313e+00 1.00000004e+00
 1.50000000e+01 1.14000000e+02 4.71000000e+02 8.76000000e+02
 9.05000000e+02 4.70000000e+02 1.29000000e+02 2.10000000e+01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",[ 6907.15466297 70036.95718038]
18,-0.91126305,-0.7604828,-1.0,-1.0,-0.8970740572523334,-0.6020090066287467,0,"[4789.291279636 35561.6759348335 27820.349483400427 5052.419617529997
 63.20284740990399 38.371984462194234 202.57516990155932 540.6494510131969
 727.8161887861747 527.6076283460196 213.1326507551908 53.63650874001157
 9.236421976988645 0.7961187972471597 0.020221495602994133
 2.4619979084428145e-05 6.832977517134964e-10 3.3306690738754696e-16 0.0
 0.0 0.0]",[ 6907.15466297 70036.95718038]
19,-0.9055632,-0.7331579,-1.0,-1.0,-0.8970740572523334,-0.6230347692700257,0,"[474.11812132820216 7147.131208384356 28167.115741624602
 26298.994882022685 8174.159045491974 824.2901643168027 90.23565678529992
 264.7777902802077 458.1866220705979 399.6091741040847 207.07780367920594
 71.52804878273271 17.511794492234692 2.907740273201468
 0.09947804255413317 0.00012304357970371882 3.4164477913378732e-09
 1.6653345369377348e-15 0.0 0.0 0.0]",[ 6907.15466297 70036.95718038]
20,-0.92901045,-0.7249526,-1.0,-1.0,-0.8970740572523334,-0.6484074401413936,0,"[48.859973814586176 1140.5727137640615 8660.069802984726
 24325.047561725576 23773.729665491734 9369.136521277214
 1563.9054157323328 212.50427902626384 247.86750177445967
 268.37853570711707 176.92538931403848 74.6441067259983 23.992660200566267
 4.966270256555766 0.17865507226132005 0.00022146443318560305
 6.149595832560806e-09 2.9976021664879227e-15 0.0 0.0 0.0]",[ 6907.15466297 70036.95718038]
21,-0.93121266,-0.7595482,-1.0,-1.0,-0.8970740572523334,-0.7877538108932935,0,"[5.3166436925581 168.97313103782918 1973.7187619389608 9947.343397561353
 22108.720450717927 21159.93991417688 9249.656702081238 1941.685863814308
 291.0465060353822 160.1695155261222 121.64445775706182 65.91396660913607
 22.757524667420256 5.65662132341939 1.3888743861711466
 0.04483173689511066 4.5155931032714314e-05 1.0070201339473783e-09
 3.3306690738754696e-16 0.0 0.0]",[ 6907.15466297 70036.95718038]
